study_id,ex_id,con_id,out_id,es_id,shared_control,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,higher_better_notes...49,higher_better_notes...50,c_mean,c_sd,c_n,c_se,c_ci,ex_mean,ex_sd,ex_n,ex_se,ex_ci,stat_comment,general_comment,c_median,c_q1,c_q3,ex_median,ex_q1,ex_q3,checked_ML,checked_ML_comments,...71,corrections_notes_AL,miss_c_mean_raw,miss_ex_mean_raw,miss_c_sd_raw,miss_ex_sd_raw,miss_c_se_raw,miss_ex_se_raw,mean_floored_to1,cohort_id,c_mean_imputed,ex_mean_imputed,c_sd_imputed,ex_sd_imputed,c_se_imputed,ex_se_imputed,lnRR,lnRR_var
hassanvand_2012_phyphar,ex005,con003,out007,es011,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Rearing frequency,count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,Independent,Yes,Negative,Not specified,13.943,1.8417,6,0.7519,,20.6957,2.4556,6,1.0025,,,"non-English language, ask native speaker",,,,,,,yes - recheck!,whiskers in the plot extracted as SD values but more likely they are SE values,,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hassanvand_2012_phyphar_ex005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.394667631692305,0.005254273097981812
hassanvand_2012_phyphar,ex005,con003,out008,es012,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sections crossed,count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,Independent,Yes,Negative,Not specified,24.686,4.4507,6,1.817,,28.5228,2.609,6,1.0651,,,"non-English language, ask native speaker",,,,,,,yes - recheck!,whiskers in the plot extracted as SD values but more likely they are SE values,,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hassanvand_2012_phyphar_ex005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.14245594527997454,0.006812043642669949
arjunan_2023_stress,ex006,con004,out009,es013,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,160.21,18.85,6,7.69,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3412952579524951,0.0045114292322744574
arjunan_2023_stress,ex006,con004,out010,es014,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,con_egs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,132.86,19.48,6,7.95,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6051534075625605,0.02935398241976085
arjunan_2023_stress,ex007,con004,out009,es015,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,124.08,11.78,6,4.81,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5972566984283891,0.003706419861165428
arjunan_2023_stress,ex007,con004,out010,es016,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,con_lgs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,170.48,10.75,6,4.39,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8530153401954489,0.026433756579004992
arjunan_2023_stress,ex008,con004,out009,es017,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,Independent,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,93.46,11.78,6,4.81,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8800768859421931,0.0048520080255642275
arjunan_2023_stress,ex008,con004,out010,es018,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,Ultrasound,Ultrasound,100,"0-2,000",Unclear,,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,con_fgs_per,Independent,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,202.72,12.09,6,4.94,,,,,,,,,,yes - recheck!,"legend says ""The data represent the mean ± SD"", but the values look like SE",,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arjunan_2023_stress_ex008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.0261881175521326,0.026363853727437752
hadizadeh_2018_irjbamedsci,ex009,con005,out011,es019,Yes,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),percentage,%,Not reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,Independent,Yes,Negative,declined the anxiety-like behavior where the number of open arm entries increased,54.98,7.67,6,3.13,,19.51,3.07,6,1.25,,,,,,,,,,yes - recheck!,exp mean values look too low,,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hadizadeh_2018_irjbamedsci_ex009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6020041514518896,0.0026141985237946594
hadizadeh_2018_irjbamedsci,ex009,con005,out012,es020,Yes,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Time in open arms (OAT),percentage,%,Not reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,Independent,Yes,Negative,,41.56,2.9,6,1.18,,17.52,4.35,6,1.78,,,,,,,,,,yes - recheck!,exp mean values look too low,,"Done! re-extracted, I swapped the selection in meta-digitise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,hadizadeh_2018_irjbamedsci_ex009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.48380341854470477,0.0032193134002988645
