matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
64,uygur_2011_ankarauniv,es064,ex016,con012,out036,10,9,-0.5110742132257738,0.11874214826813656
65,uygur_2011_ankarauniv,es065,ex016,con012,out036,10,9,-0.461080798596692,0.09817530871557524
66,uygur_2011_ankarauniv,es066,ex016,con012,out037,10,9,-0.6281606490678288,0.120973181379829
67,uygur_2011_ankarauniv,es067,ex016,con012,out037,10,9,-0.0320832592576523,0.30931914704017577
68,uygur_2011_ankarauniv,es068,ex016,con012,out038,10,9,-0.11948831938417016,0.12747537406631104
69,uygur_2011_ankarauniv,es069,ex016,con012,out038,10,9,0.33809588476933367,0.4179873878980591
70,uygur_2011_ankarauniv,es070,ex016,con012,out039,10,9,0.14848297504153632,0.07404105491248347
71,uygur_2011_ankarauniv,es071,ex016,con012,out039,10,9,-0.13014329243127867,0.10142598136224008
72,morra_1965_physiolrec,es072,ex017,con013,out040,35,63,0.313764523675013,0.01270681585042289
73,morra_1965_physiolrec,es073,ex017,con013,out041,35,63,0.3610761203629592,0.0112081502176372
74,abramova_2021_front,es074,ex018,con014,out042,19,25,0.1538093513627181,0.02561118731435939
75,abramova_2021_front,es075,ex019,con015,out042,18,23,0.4135117217882007,0.03491638934511806
76,abramova_2021_front,es076,ex018,con014,out043,19,25,0.2588084865334971,0.0458071077714791
77,abramova_2021_front,es077,ex019,con015,out043,18,23,0.8275694200736594,0.0827447112289958
78,abramova_2021_front,es078,ex018,con014,out044,19,25,-0.1555531636595423,0.1912432817690231
79,abramova_2021_front,es079,ex019,con015,out044,18,23,0.7708886403877426,0.4338767744814988
80,abramova_2021_front,es080,ex018,con014,out045,19,23,0.5248748864765627,0.23575372720585855
81,abramova_2021_front,es081,ex019,con015,out045,18,25,0.8258850451173166,0.5505007305968866
82,abramova_2021_front,es082,ex018,con014,out046,19,25,-0.29174040187259065,0.02932513186438942
83,abramova_2021_front,es083,ex019,con015,out046,18,23,0.12603016413254786,0.0321464065977832
84,abramova_2021_front,es084,ex018,con014,out047,19,25,-0.1773783544768892,0.06191124669074186
85,abramova_2021_front,es085,ex019,con015,out047,18,23,0.3908280397405656,0.05632462038680207
86,abramova_2021_front,es086,ex018,con014,out048,19,25,0.5304046043824765,0.07915700054681933
87,abramova_2021_front,es087,ex019,con015,out048,18,23,0.699214891806517,0.07592590630840781
88,badache_2017_stress,es088,ex020,con016,out049,16,16,0.1569145814949363,0.00555162952649664
89,badache_2017_stress,es089,ex020,con016,out050,16,16,0.4427665265473928,0.00571300535609739
90,badache_2017_stress,es090,ex020,con016,out051,16,16,3.069459803784236,0.13357040657453786
91,badache_2017_stress,es091,ex020,con016,out052,16,16,0.9463189675531792,0.00645927935642369
92,badache_2017_stress,es092,ex020,con016,out053,16,16,0.6903912827825432,0.00637073995222052
93,badache_2017_stress,es093,ex020,con016,out054,16,16,0.8465153649832358,0.00823958830129476
94,whitlow_1978_thesis,es094,ex021,con017,out055,20,20,-0.08183017390537731,7.325159029649271e-4
95,whitlow_1978_thesis,es095,ex022,con017,out055,20,20,0.07523147868384246,7.921740669302817e-4
