study_id,title,doi,publish_in,ex_id,con_id,out_id,es_id,shared_control,sp_latin,sp_common,strain,dam_age,gest_stage_ex,exposure_span_d,exposure_type,exposure_session_duration_h,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,offspring_sex,offspring_age_d,experimental_procedures,outcome_type,assay_type,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,c_mean,c_sd,c_n,c_se,c_mean_method,c_sd_method,c_se_method,ex_mean,ex_sd,ex_n,ex_se,ex_mean_method,ex_sd_method,ex_se_method,c_mean_continuity_corrected,ex_mean_continuity_corrected,c_sd_continuity_corrected,ex_sd_continuity_corrected,lnRR,lnRR_var
hassanvand_2012_phyphar,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,ex005,con003,out007,es011,yes,Rattus norvegicus,brown rat,Wistar rat,,"early, mid",14,intermittent,0.083,traffic,audible,125,,unclear,male,90,none,anxiety,Open Field Test (OFT),Rearing frequency,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,independent,yes,13.943,1.8417,6,0.7519,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,20.6957,2.4556,6,1.0025,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,-0.394667631692305,0.005254273097981812
hassanvand_2012_phyphar,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,ex005,con003,out008,es012,yes,Rattus norvegicus,brown rat,Wistar rat,,"early, mid",14,intermittent,0.083,traffic,audible,125,,unclear,male,90,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,independent,yes,24.686,4.4507,6,1.817,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,28.5228,2.609,6,1.0651,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,-0.14245594527997454,0.006812043642669949
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex006,con004,out009,es013,yes,Rattus norvegicus,albino rat,Wistar rat,,"early, mid",10,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,160.21,18.85,6,7.69,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.3412952579524951,0.0045114292322744574
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex006,con004,out010,es014,yes,Rattus norvegicus,albino rat,Wistar rat,,"early, mid",10,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,con_egs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,132.86,19.48,6,7.95,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.6051534075625605,0.02935398241976085
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex007,con004,out009,es015,yes,Rattus norvegicus,albino rat,Wistar rat,,late,11,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,124.08,11.78,6,4.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.5972566984283891,0.003706419861165428
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex007,con004,out010,es016,yes,Rattus norvegicus,albino rat,Wistar rat,,late,11,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,con_lgs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,170.48,10.75,6,4.39,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.8530153401954489,0.026433756579004992
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex008,con004,out009,es017,yes,Rattus norvegicus,albino rat,Wistar rat,,"early, mid, late",21,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,93.46,11.78,6,4.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.8800768859421931,0.0048520080255642275
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex008,con004,out010,es018,yes,Rattus norvegicus,albino rat,Wistar rat,,"early, mid, late",21,intermittent,4,ultrasound,ultrasound,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,con_fgs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,202.72,12.09,6,4.94,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,1.0261881175521326,0.026363853727437752
hadizadeh_2018_irjbamedsci,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,ex009,con005,out011,es019,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,traffic,audible,95,,unclear,male,45,The CON and ST groups received drinking water as vehicle,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,independent,yes,54.98,7.67,6,3.13,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,19.51,3.07,6,1.25,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.6020041514518896,0.0026141985237946594
hadizadeh_2018_irjbamedsci,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,ex009,con005,out012,es020,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,traffic,audible,95,,unclear,male,45,The CON and ST groups received drinking water as vehicle,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,independent,yes,41.56,2.9,6,1.18,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,17.52,4.35,6,1.78,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,FALSE,FALSE,FALSE,FALSE,0.48380341854470477,0.0032193134002988645
