study_id,ex_id,con_id,out_id,es_id,shared_control,id_notes,title,doi,publish_in,outcome_id_notes,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_standardised,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_loudness,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,effect_direction_label_raw,higher_better_notes,c_mean,c_sd,c_n,c_se,c_ci,ex_mean,ex_sd,ex_n,ex_se,ex_ci,stat_comment,general_comment,c_median,c_q1,c_q3,ex_median,ex_q1,ex_q3,checked_ML,checked_ML_comments,...72,corrections_notes_AL,c_mean_analysis,c_mean_method,c_sd_analysis,c_sd_method,c_se_analysis,c_se_method,ex_mean_analysis,ex_mean_method,ex_sd_analysis,ex_sd_method,ex_se_analysis,ex_se_method
hassanvand_2012_phyphar,ex005,con003,out007,es011,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",early_mid,day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Rearing frequency,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,independent,yes,Negative,Not specified,13.943,1.8417,6,0.7519,,20.6957,2.4556,6,1.0025,,,"non-English language, ask native speaker",,,,,,,recheck,whiskers in the plot extracted as SD values but more likely they are SE values,"Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",13.943,Extracted mean used unchanged,1.8417,Extracted SD used unchanged,0.7519,Extracted SE used unchanged,20.6957,Extracted mean used unchanged,2.4556,Extracted SD used unchanged,1.0025,Extracted SE used unchanged
hassanvand_2012_phyphar,ex005,con003,out008,es012,Yes,Only one experiment,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Only one assay,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",early_mid,day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,unclear,,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sections crossed,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,independent,yes,Negative,Not specified,24.686,4.4507,6,1.817,,28.5228,2.609,6,1.0651,,,"non-English language, ask native speaker",,,,,,,recheck,whiskers in the plot extracted as SD values but more likely they are SE values,"Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",24.686,Extracted mean used unchanged,4.4507,Extracted SD used unchanged,1.817,Extracted SE used unchanged,28.5228,Extracted mean used unchanged,2.609,Extracted SD used unchanged,1.0651,Extracted SE used unchanged
arjunan_2023_stress,ex006,con004,out009,es013,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",early_mid,day 1-10,10,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,independent,yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,160.21,18.85,6,7.69,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",225.39,Extracted mean used unchanged,25.92,Extracted SD used unchanged,10.58,Extracted SE used unchanged,160.21,Extracted mean used unchanged,18.85,Extracted SD used unchanged,7.69,Extracted SE used unchanged
arjunan_2023_stress,ex006,con004,out010,es014,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",early_mid,day 1-10,10,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,con_egs_per,independent,no,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,132.86,19.48,6,7.95,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",71.74,Extracted mean used unchanged,28.21,Extracted SD used unchanged,11.52,Extracted SE used unchanged,132.86,Extracted mean used unchanged,19.48,Extracted SD used unchanged,7.95,Extracted SE used unchanged
arjunan_2023_stress,ex007,con004,out009,es015,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,late,day 11-21,11,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,independent,yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,124.08,11.78,6,4.81,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",225.39,Extracted mean used unchanged,25.92,Extracted SD used unchanged,10.58,Extracted SE used unchanged,124.08,Extracted mean used unchanged,11.78,Extracted SD used unchanged,4.81,Extracted SE used unchanged
arjunan_2023_stress,ex007,con004,out010,es016,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,late,day 11-21,11,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,con_lgs_per,independent,no,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,170.48,10.75,6,4.39,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",71.74,Extracted mean used unchanged,28.21,Extracted SD used unchanged,11.52,Extracted SE used unchanged,170.48,Extracted mean used unchanged,10.75,Extracted SD used unchanged,4.39,Extracted SE used unchanged
arjunan_2023_stress,ex008,con004,out009,es017,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",full_gestation,day 1-21,21,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,independent,yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,10.58,,93.46,11.78,6,4.81,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",225.39,Extracted mean used unchanged,25.92,Extracted SD used unchanged,10.58,Extracted SE used unchanged,93.46,Extracted mean used unchanged,11.78,Extracted SD used unchanged,4.81,Extracted SE used unchanged
arjunan_2023_stress,ex008,con004,out010,es018,Yes,"3 experimental groups: Early gestational, late gestational and full-term gestational","Impacts of Maternal Noise Exposure on Risk of Stillbirth
and Oxidative Stress-Induced Neurobehavioral Changes
in Offspring",10.3390/stresses3030037,Stresses,,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",full_gestation,day 1-21,21,Intermitent,4,h,Ultrasound,Audible,100,"0-20,000",unclear,,,male,45,,none,,anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,con_fgs_per,independent,no,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,11.52,,202.72,12.09,6,4.94,,,,,,,,,,recheck,"legend says ""The data represent the mean ± SD"", but the values look like SE","Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",71.74,Extracted mean used unchanged,28.21,Extracted SD used unchanged,11.52,Extracted SE used unchanged,202.72,Extracted mean used unchanged,12.09,Extracted SD used unchanged,4.94,Extracted SE used unchanged
hadizadeh_2018_irjbamedsci,ex009,con005,out011,es019,Yes,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,independent,yes,Negative,declined the anxiety-like behavior where the number of open arm entries increased,54.98,7.67,6,3.13,,19.51,3.07,6,1.25,,,,,,,,,,recheck,exp mean values look too low,"Done! re-extracted, I swapped the selection in meta-digitise","Done! re-extracted, I swapped the selection in meta-digitise",54.98,Extracted mean used unchanged,7.67,Extracted SD used unchanged,3.13,Extracted SE used unchanged,19.51,Extracted mean used unchanged,3.07,Extracted SD used unchanged,1.25,Extracted SE used unchanged
hadizadeh_2018_irjbamedsci,ex009,con005,out012,es020,Yes,"one control, one treatment for females and males","Probiotic supplementation improves the cognitive function and
the anxiety-like behaviors in the stressed rats",10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,unclear,,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,anxiety,Elevated Plus Maze (EPM),,Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,independent,yes,Negative,,41.56,2.9,6,1.18,,17.52,4.35,6,1.78,,,,,,,,,,recheck,exp mean values look too low,"Done! re-extracted, I swapped the selection in meta-digitise",,41.56,Extracted mean used unchanged,2.9,Extracted SD used unchanged,1.18,Extracted SE used unchanged,17.52,Extracted mean used unchanged,4.35,Extracted SD used unchanged,1.78,Extracted SE used unchanged
