es_id,es001,es002,es003,es004,es005,es006,es007,es008,es009,es010,es011,es012,es013,es014,es015,es016,es017,es018,es019,es020,es021,es022,es023,es024,es025,es026,es027,es028,es029,es030,es031,es032,es033,es034,es035,es036,es037,es038,es039,es040,es041,es042,es043,es044,es045,es046,es047,es048,es049,es050,es051,es052,es053,es054,es055,es056,es057,es058,es059,es060,es061,es062,es063,es064,es065,es066,es067,es068,es069,es070,es071,es072,es073,es074,es075,es076,es077,es078,es079,es082,es083,es084,es085,es086,es087,es088,es089,es090,es091,es092,es093,es094,es095,es096,es097,es098,es099,es100,es101,es102,es103,es104,es105,es106,es107,es108,es109,es110,es111,es112,es113,es114,es115,es116,es117,es118,es119,es120,es121,es122,es123,es124,es125,es126,es127,es128,es129,es130,es131,es132,es133,es134,es135,es136,es137,es138,es139,es140,es141,es160,es161,es162,es163,es164,es165,es166,es167,es168,es169,es170,es171,es172,es173,es174,es175,es176,es177,es178,es179,es180,es181,es182,es183,es184,es185,es186,es187,es188,es189,es190,es191,es192,es193,es194,es195,es196,es197,es198,es199,es200,es201,es202,es203,es204,es205,es206,es207
es095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9044029608102143e-4,7.921740669302817e-4,2.4516909857624786e-4,5.089289969213336e-4,3.4703043977858417e-4,7.751191949564895e-4,7.845465109732817e-4,0.001565644678130132,6.424314773450124e-4,0.001350563966987423,8.111192559278841e-4,0.0017079932448092546,0.0011166131501306924,0.0023039942622358747,0.001088009771063193,0.0022264470927811494,0.001299304450758655,0.0025815272818291556,0,2.1876062045258327e-4,0,2.697506979820379e-4,0,3.7949399227687694e-4,0,7.999126426756612e-4,0,7.858035463502696e-4,0,8.536609743326202e-4,0,0.0010652754062349234,0,0.0012218394893024074,0,9.374796005324406e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7151329660365587e-4,2.4516909857624786e-4,0.00121403392321814,3.1501577399023484e-4,8.592166156484115e-4,4.7978160924410637e-4,0.0019424676360013996,9.690993695749099e-4,0.0015906034067287454,8.359691743986592e-4,0.002008259397677837,0.001057209978677727,0.0027646352073781746,0.0014261214043173925,0.002693815775589522,0.0013781214244492615,0.0032169626779427656,0.0015979081948203871,2.640268219146843e-4,0,3.2441273573860366e-4,0,4.1535492827289404e-4,0,9.92256131710302e-4,0,9.481672594597732e-4,0,0.0010036438806083814,0,0.0012622208192869084,0,0.0014892800882782963,0,0.0011923884875957257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4469518229368114e-4,5.089289969213336e-4,3.1501577399023484e-4,0.0013078374297761498,4.4589658003340747e-4,9.959443280245519e-4,0.0010080574094403028,0.002011684070052038,8.254549625004634e-4,0.0017353286195305317,0.0010422005125782206,0.0021945865817031077,0.001434727124171807,0.002960383425163067,0.0013979748758337802,0.002860743699975862,0.0016694656854456783,0.003316983337153339,0,2.8108373596284395e-4,0,3.466004704617789e-4,0,4.8760873371064535e-4,0,0.0010278012266651132,0,0.0010096725639378086,0,0.001096862019382981,0,0.0013687636759960227,0,0.0015699315886448357,0,0.0012045598881619977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.674147257221641e-4,3.4703043977858417e-4,8.592166156484115e-4,4.4589658003340747e-4,0.00243239724520831,6.791183057757082e-4,0.00274951207918068,0.0013717347837298418,0.002251457475497149,0.0011832924782022767,0.0028426385952097025,0.0014964530439171059,0.003913268749672491,0.0020186375077118454,0.0038130256982389825,0.001950694792990723,0.00455352644097834,0.0022617972117797923,3.7372305341286404e-4,0,4.5919773334781986e-4,0,5.879240257430597e-4,0,0.001404512574219592,0,0.0013421059299267572,0,0.001420631634619692,0,0.0017866405210059256,0,0.0021080369711763344,0,0.0016877946839151704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.726805386538567e-4,7.751191949564895e-4,4.7978160924410637e-4,9.959443280245519e-4,6.791183057757082e-4,0.0030337260027618303,0.0015353117083168858,0.003063875209151335,0.0012572008863254022,0.002642974817100813,0.0015873130184754225,0.0033424430416861568,0.0021851467300893217,0.004508782229261779,0.0021291715875508903,0.0043570269470121995,0.002542662937144767,0.005051898142042398,0,4.281017596813398e-4,0,5.278863638367249e-4,0,7.426475823030577e-4,0,0.0015653823307519219,0,0.001537771653144967,0,0.0016705646771663573,0,0.002084681763157065,0,0.002391068531147665,0,0.001834592834043857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015088529259035535,7.845465109732817e-4,0.0019424676360013996,0.0010080574094403028,0.00274951207918068,0.0015353117083168858,0.01243187836765215,0.003101139309976894,0.005089965906544107,0.0026751197555662212,0.006426474269094914,0.003383095198189483,0.008846893505985156,0.004563619879010001,0.008620269765711387,0.0044100188870782285,0.010294351366333956,0.005113341389196601,8.448916406653442e-4,0,0.001038127893837582,0,0.001329144911346616,0,0.003175241458429791,0,0.0030341560969475746,0,0.003211682505518152,0,0.004039134399890147,0,0.004765729057641992,0,0.0038156694016517672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.527684848764905e-4,0.001565644678130132,9.690993695749099e-4,0.002011684070052038,0.0013717347837298418,0.003063875209151335,0.003101139309976894,0.01237729615490145,0.002539389928443639,0.005338481466786701,0.003206175509615942,0.006751320563623477,0.00441372549042583,0.009107181125204459,0.0043006626420367,0.008800654268976202,0.005135863905477013,0.010204207936029983,0,8.647124804861251e-4,0,0.0010662650100476852,0,0.001500056046250099,0,0.003161878239279397,0,0.0031061080935570703,0,0.0033743335390171935,0,0.004210798712403211,0,0.004829661999334069,0,0.0037056500804597877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012355349246050955,6.424314773450124e-4,0.0015906034067287454,8.254549625004634e-4,0.002251457475497149,0.0012572008863254022,0.005089965906544107,0.002539389928443639,0.008335909397953428,0.0021905407934466785,0.005262364054990942,0.002770271508154988,0.007244341521464744,0.0037369525195853,0.007058769063708332,0.0036111752574495334,0.008429602661005009,0.004187095878809972,6.918455149787459e-4,0,8.50078392017547e-4,0,0.0010883797417475121,0,0.0026000689985040946,0,0.002484540249167955,0,0.0026299090084837863,0,0.003307473863464619,0,0.0039024510545956213,0,0.0031244879640370806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49356782774056e-4,0.001350563966987423,8.359691743986592e-4,0.0017353286195305317,0.0011832924782022767,0.002642974817100813,0.0026751197555662212,0.005338481466786701,0.0021905407934466785,0.00921021328553708,0.0027657265889322806,0.005823856721884642,0.0038073891801953,0.00785608052730007,0.003709858360353284,0.007591662851489845,0.004430323704336717,0.008802403088361357,0,7.459224524325992e-4,0,9.197866680387313e-4,0,0.0012939855848688384,0,0.002727514663846003,0,0.0026794059516341306,0,0.0029107838796709304,0,0.0036323395037504984,0,0.004166186338537073,0,0.003196585753358947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015599580718869332,8.111192559278841e-4,0.002008259397677837,0.0010422005125782206,0.0028426385952097025,0.0015873130184754225,0.006426474269094914,0.003206175509615942,0.005262364054990942,0.0027657265889322806,0.01328828043839323,0.003497681299333575,0.009146539532685896,0.004718190583765599,0.0089122400016633,0.004559387095963553,0.010643023076047252,0.0052865312698479995,8.735082870561665e-4,0,0.0010732894902086914,0,0.001374163311457918,0,0.0032827875124418877,0,0.0031369235619594553,0,0.003320462824977375,0,0.004175940678096,0,0.004927145240111983,0,0.0039449068763240955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
