study_id,title,doi,publish_in,ex_id,con_id,out_id,es_id,shared_control,sp_latin,sp_common,strain,dam_age,gest_stage_ex_standardised,exposure_span_d,exposure_type,exposure_session_duration_h,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,offspring_sex,offspring_age_d,experimental_procedures,outcome_type,assay_type,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,comparison_structure,higher_better,c_mean,c_sd,c_n,c_se,c_mean_method,c_sd_method,c_se_method,ex_mean,ex_sd,ex_n,ex_se,ex_mean_method,ex_sd_method,ex_se_method
hassanvand_2012_phyphar,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,ex005,con003,out007,es011,yes,Rattus norvegicus,brown rat,Wistar rat,,early_mid,14,intermittent,0.083,traffic,audible,125,,unclear,male,90,none,anxiety,Open Field Test (OFT),Rearing frequency,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,independent,yes,13.943,1.8417,6,0.7519,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,20.6957,2.4556,6,1.0025,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
hassanvand_2012_phyphar,Alterations in dopamine related behavior of the offspring of pregnant Wistar rats exposed to noise pollution stress,http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,ex005,con003,out008,es012,yes,Rattus norvegicus,brown rat,Wistar rat,,early_mid,14,intermittent,0.083,traffic,audible,125,,unclear,male,90,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,not_reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,independent,yes,24.686,4.4507,6,1.817,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,28.5228,2.609,6,1.0651,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex006,con004,out009,es013,yes,Rattus norvegicus,albino rat,Wistar rat,,early_mid,10,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,160.21,18.85,6,7.69,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex006,con004,out010,es014,yes,Rattus norvegicus,albino rat,Wistar rat,,early_mid,10,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Egs_per,con_egs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,132.86,19.48,6,7.95,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex007,con004,out009,es015,yes,Rattus norvegicus,albino rat,Wistar rat,,late,11,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,124.08,11.78,6,4.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex007,con004,out010,es016,yes,Rattus norvegicus,albino rat,Wistar rat,,late,11,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Lgs_per,con_lgs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,170.48,10.75,6,4.39,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex008,con004,out009,es017,yes,Rattus norvegicus,albino rat,Wistar rat,,full_gestation,21,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in central square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,independent,yes,225.39,25.92,6,10.58,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,93.46,11.78,6,4.81,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
arjunan_2023_stress,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,ex008,con004,out010,es018,yes,Rattus norvegicus,albino rat,Wistar rat,,full_gestation,21,intermittent,4,ultrasound,audible,100,"0-20,000",unclear,male,45,none,anxiety,Open Field Test (OFT),Time in peripheral square,time,seconds,not_reported,Figure 3B,arjunan_2023_stress_fig3B_per,Con_per,Fgs_per,con_fgs_per,independent,no,71.74,28.21,6,11.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,202.72,12.09,6,4.94,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
hadizadeh_2018_irjbamedsci,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,ex009,con005,out011,es019,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,traffic,audible,95,,unclear,male,45,The CON and ST groups received drinking water as vehicle,anxiety,Elevated Plus Maze (EPM),Entries into open arms (OAE),percentage,percent,not_reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,independent,yes,54.98,7.67,6,3.13,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,19.51,3.07,6,1.25,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
hadizadeh_2018_irjbamedsci,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,ex009,con005,out012,es020,yes,Rattus norvegicus,brown rat,Wistar rat,,late,7,intermittent,4,traffic,audible,95,,unclear,male,45,The CON and ST groups received drinking water as vehicle,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),percentage,percent,not_reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,independent,yes,41.56,2.9,6,1.18,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,17.52,4.35,6,1.78,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out013,es021,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),time,seconds,light_phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_f_oa,PS_f_oa,Con_PS_f_oa,independent,yes,45.56,30.7,37,5.05,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,27.88,17.52,49,2.5,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out013,es022,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Time in open arms (OAT),time,seconds,light_phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_m_oa,PS_m_oa,Con_PS_m_oa,independent,yes,53.82,29.51,35,4.99,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,38.35,24.99,44,3.77,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out014,es023,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Head-dipping,count,count,light_phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_f_hd,PS_f_hd,Con_PS_f_hd,independent,yes,10.2,5.76,37,0.95,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,4.46,3.09,49,0.44,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out014,es024,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Head-dipping,count,count,light_phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_m_hd,PS_m_hd,Con_PS_m_hd,independent,yes,11.55,6.92,35,1.17,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,8.55,5.26,44,0.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out015,es025,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Total freezing time,time,seconds,light_phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_f_fr,PS_f_fr,Con_PS_f_fr,independent,no,2.59,3.45,37,0.57,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,20.84,19.55,49,2.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out015,es026,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Total freezing time,time,seconds,light_phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_m_fr,PS_m_fr,Con_PS_m_fr,independent,no,1.23,2.02,35,0.34,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,3.27,3.72,44,0.56,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out016,es027,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Total grooming time,time,seconds,light_phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_f_gd,PS_f_gd,Con_PS_f_gd,independent,no,22.57,14.12,37,2.32,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,30.57,22.63,49,3.23,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out016,es028,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Total grooming time,time,seconds,light_phase,Fig. 2. d,abramova_2024_devneur_fig2d,Con_m_gd,PS_m_gd,Con_PS_m_gd,independent,no,28.31,19.54,35,3.3,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,48.4,27.76,44,4.19,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out017,es029,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,70,none,anxiety,Elevated Plus Maze (EPM),Mean grooming duration,time,seconds,light_phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_f_mg,PS_f_mg,Con_PS_f_mg,independent,no,6.97,3.61,37,0.59,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,7.61,4.63,49,0.66,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out017,es030,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,70,none,anxiety,Elevated Plus Maze (EPM),Mean grooming duration,time,seconds,light_phase,Fig. 2. e,abramova_2024_devneur_fig2e,Con_m_mg,PS_m_mg,Con_PS_m_mg,independent,no,7.13,4.67,35,0.79,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,12.15,7.17,44,1.08,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out018,es031,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Center entries (crossing),count,count,light_phase,Fig. 3. a,abramova_2024_devneur_fig3a,Con_f_ce,PS_f_ce,Con_PS_f_ce,independent,yes,2.46,1.21,37,0.2,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,2.2,1.91,49,0.27,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out018,es032,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Center entries (crossing),count,count,light_phase,Fig. 3. a,abramova_2024_devneur_fig3a,Con_m_ce,PS_m_ce,Con_PS_m_ce,independent,yes,2.87,1.49,35,0.25,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,1.48,1.35,44,0.2,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out019,es033,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Rearing frequency,count,count,light_phase,Fig. 3. c,abramova_2024_devneur_fig3b,Con_f_re,PS_f_re,Con_PS_f_re,independent,yes,21.48,5.57,37,0.92,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,23.44,10.99,49,1.57,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out019,es034,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Rearing frequency,count,count,light_phase,Fig. 3. c,abramova_2024_devneur_fig3b,Con_m_re,PS_m_re,Con_PS_m_re,independent,yes,21.46,9.73,35,1.64,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,15.37,8.01,44,1.21,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out020,es035,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,light_phase,Fig. 3. b,abramova_2024_devneur_fig3c,Con_f_cs,PS_f_cs,Con_PS_f_cs,independent,yes,50.7,14.38,37,2.36,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,44.22,17.61,49,2.52,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out020,es036,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Sections crossed,count,count,light_phase,Fig. 3. b,abramova_2024_devneur_fig3c,Con_m_cs,PS_m_cs,Con_PS_m_cs,independent,yes,45.52,13.15,35,2.22,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,32.55,13.67,44,2.06,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex010,con006,out021,es037,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,female,74,none,anxiety,Open Field Test (OFT),Total freezing time,time,seconds,light_phase,Fig. 3. d,abramova_2024_devneur_fig3d,Con_f_fr,PS_f_fr,Con_PS_f_fr,independent,no,10.51,10.74,37,1.76,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,31.13,30.81,49,4.4,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
abramova_2024_devneur,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,ex011,con007,out021,es038,no,Rattus norvegicus,brown rat,Wistar rat,16,full_gestation,21,continuous,24,ultrasound,ultrasound,50,"20,000-45,000",ambient_sound,male,74,none,anxiety,Open Field Test (OFT),Total freezing time,time,seconds,light_phase,Fig. 3. d,abramova_2024_devneur_fig3d,Con_m_fr,PS_m_fr,Con_PS_m_fr,independent,no,17.03,15.77,35,2.67,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged,51.69,49.02,44,7.39,Extracted mean used unchanged,Extracted SD used unchanged,Extracted SE used unchanged
