pair_classification,effect_size_pairs
All effect-size pairs,21321
Same publication,2674
Shared exposed cohort or control group,1512
Same publication without a shared cohort or control group,1162
Shared group with different sample sizes,179
Shared exposed cohort with different treatment sample sizes,24
Shared control group with different control sample sizes,179
Shared group spanning offspring ages,752
Shared group spanning behavioural tests,610
Shared group spanning behavioural outcomes,1319
