es_id,es001,es002,es003,es010,es011,es012,es013,es014,es015,es016,es017,es018,es021,es022,es023,es024,es025,es026,es027,es028,es029,es030,es031,es032,es033,es034,es035,es036,es037,es038,es039,es040,es041,es042,es043,es044,es045,es046,es047,es048,es049,es050,es051,es052,es053,es054,es055,es056,es057,es062,es063,es064,es065,es066,es067,es068,es069,es070,es071,es072,es073,es074,es075,es076,es077,es078,es079,es082,es083,es084,es085,es086,es087,es088,es089,es090,es091,es092,es093,es094,es095,es096,es097,es098,es099,es100,es101,es102,es103,es104,es105,es106,es107,es108,es109,es110,es111,es112,es113,es114,es115,es116,es117,es118,es119,es120,es121,es122,es123,es124,es125,es126,es127,es128,es129,es130,es131,es132,es133,es134,es135,es136,es137,es138,es139,es140,es141,es160,es161,es162,es163,es164,es165,es166,es167,es168,es169,es170,es171,es172,es173,es174,es175,es176,es177,es178,es179,es180,es181,es182,es183,es184,es185,es186,es187,es188,es189,es190,es191,es192,es193,es194,es195,es196,es197,es198,es199,es200,es201,es202,es203,es204,es205,es206,es207
es098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02052367107136008,0.010269445995464416,0.02064620322456811,0.010334994459805357,0.04190608145573462,0.010551418728275298,0.023319298517573795,0.011653517191049319,0.022380307885072323,0.011292008717597226,0.023510886777949346,0.011915002846786942,0.026026437954599815,0.013175366745413409,0.0257688188344291,0.012997847335200907,0.02776272537835289,0.013839147820555467,0.010285571100928682,0,0.010345023855509585,0,0.010456660939426954,0,0.011720589824015224,0,0.011593928133109981,0,0.011754011226734133,0,0.012584948020950098,0,0.013414402630454892,0,0.012347637036372212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010335199082932936,0.02068572790228792,0.010396903160778572,0.020817762064439256,0.010551418728275298,0.04250741021328815,0.01174300600586933,0.023473660197945206,0.011270154190510905,0.022745474284167164,0.011839484984023353,0.024000370317198833,0.013106252616558107,0.026539119211381502,0.012976522175776982,0.02618154216013139,0.01398060283038131,0.027876172321465633,0,0.01036523904008669,0,0.010429515290484059,0,0.010611221380537402,0,0.011798501198067655,0,0.011747515162776185,0,0.011998903612525777,0,0.012874910459902265,0,0.013600647070351638,0,0.01233002802265895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022841439512548162,0.011429189676505363,0.022977809402521164,0.011502140625591335,0.023319298517573795,0.01174300600586933,0.05190556257817846,0.012969566073354222,0.024907749059691377,0.012567231914863811,0.026166005894252057,0.013260581689817913,0.028965641975068145,0.014663280342226595,0.02867892954773507,0.014465713403223642,0.03089801089815992,0.015402023193089618,0.011447135813910063,0,0.011513302655743202,0,0.011637547080183146,0,0.013044213317675728,0,0.012903247535223365,0,0.013081409048691596,0,0.014006184760494936,0,0.014929310902281836,0,0.013742073896456429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011414713346852753,0.02284635762513085,0.01148286243186679,0.022992182790263684,0.011653517191049319,0.023473660197945206,0.012969566073354222,0.05185098036542776,0.012447324761450662,0.025121245058619613,0.013076122306164874,0.026507215312527314,0.014475204151267764,0.029311137196779087,0.014331923331808489,0.028916211128429507,0.015440880475010046,0.03078784585605701,0,0.01144789098543623,0,0.0115188809071019,0,0.011719566246077269,0,0.01303085775298122,0,0.012974546212886582,0,0.013252192252365385,0,0.014219698245471537,0,0.015021238235859923,0,0.01361790269427235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021921690673664,0.010968974201531563,0.02205256940149319,0.011038987658403858,0.022380307885072323,0.011270154190510905,0.024907749059691377,0.012447324761450662,0.04780959360847975,0.012061191262069835,0.025112387818812743,0.01272662214644332,0.027799291861299365,0.01407283878701783,0.02752412439031584,0.013883227211889821,0.0296538507115044,0.014781834919030581,0.010986197707640134,0,0.011049700230706706,0,0.011168941745191974,0,0.012518966209388237,0,0.012383676650392006,0,0.012554664191963404,0,0.013442202260023137,0,0.014328157180767435,0,0.01318872626251319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01106061290410544,0.02213763151835982,0.011126647908770456,0.022278932982023488,0.011292008717597226,0.022745474284167164,0.012567231914863811,0.025121245058619613,0.012061191262069835,0.0486838974960634,0.012670482623648656,0.025684924257732476,0.01402616298456734,0.028401864546347758,0.013887326937400284,0.028019189639407638,0.014961882672220988,0.029832763628620116,0,0.011092761325734033,0,0.011161549040307105,0,0.011356008838156323,0,0.012626622240489781,0,0.012572057563472065,0,0.012841090632785167,0,0.013778583230888805,0,0.014555258324818405,0,0.01319545622305534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023029101746786663,0.01152309038136463,0.023166592033669022,0.011596640685762154,0.023510886777949346,0.011839484984023353,0.026166005894252057,0.013076122306164874,0.025112387818812743,0.012670482623648656,0.05276196464891955,0.01336952886829352,0.02920361984359117,0.014783751906585577,0.028914551825023678,0.014584561783843937,0.031151864853182717,0.015528564170623916,0.011541183961851432,0,0.011607894421671698,0,0.011733159621806153,0,0.01315138284233436,0,0.01300925890373025,0,0.01318888416853755,0,0.01412125771480098,0,0.015051968138399738,0,0.013854976950971137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011670840639207999,0.02335899211194587,0.011740518876999749,0.023508089352650623,0.011915002846786942,0.024000370317198833,0.013260581689817913,0.026507215312527314,0.01272662214644332,0.025684924257732476,0.01336952886829352,0.05420398678464877,0.014800003796505973,0.029968830647148045,0.014653507992384409,0.029565043090866768,0.01578734830012943,0.031478674206883425,0,0.01170476272913939,0,0.011777345547259682,0,0.011982533933392284,0,0.013323248653385012,0,0.013265673575446316,0,0.013549549532940929,0,0.014538764760683278,0,0.01535828998304503,0,0.013923465912432608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025493104255218862,0.012756005321632988,0.02564530533783647,0.012837425152880673,0.026026437954599815,0.013106252616558107,0.028965641975068145,0.014475204151267764,0.027799291861299365,0.01402616298456734,0.02920361984359117,0.014800003796505973,0.06465653185160204,0.016365541860114657,0.03200826902730198,0.016145039357607326,0.03448496372888218,0.017190045434178045,0.01277603482772367,0,0.012849882984104713,0,0.012988550954818079,0,0.014558517200815607,0,0.014401186688152323,0,0.014600030987550269,0,0.01563216399391116,0,0.01666245593152582,0,0.015337392476197894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012905377164077319,0.02582989629424207,0.012982425936023521,0.025994764977218848,0.013175366745413409,0.026539119211381502,0.014663280342226595,0.029311137196779087,0.01407283878701783,0.028401864546347758,0.014783751906585577,0.029968830647148045,0.016365541860114657,0.06627784143817268,0.016203549792568796,0.032692420688020495,0.017457327242508855,0.03480847488399186,0,0.012942887518154783,0,0.013023148115692816,0,0.013250041241440205,0,0.014732576190363184,0,0.014668910845336211,0,0.014982815080046948,0,0.016076669070956208,0,0.01698288332038413,0,0.015396284174034497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
