matrix_row,study_id,es_id,ex_id,con_id,out_id,ex_n,c_n,effect_size,sampling_variance
64,abramova_2021_front,es076,ex018,con014,out043,19,25,-0.18431997509124873,0.09441821888259022
65,abramova_2021_front,es077,ex019,con015,out043,18,23,0.09358007356625778,0.13488374866215086
66,abramova_2021_front,es078,ex018,con014,out044,19,25,0.159420239013855,0.23985439288013424
67,abramova_2021_front,es079,ex019,con015,out044,18,23,0.6938128561594222,0.4860158119146539
68,abramova_2021_front,es082,ex018,con014,out046,19,25,0.3664158879835645,0.07793624297550053
69,abramova_2021_front,es083,ex019,con015,out046,18,23,0.05778610425003942,0.08428544403093828
70,abramova_2021_front,es084,ex018,con014,out047,19,25,0.1684471854881839,0.11052235780185296
71,abramova_2021_front,es085,ex019,con015,out047,18,23,-0.1087995316995898,0.10846365781995716
72,abramova_2021_front,es086,ex018,con014,out048,19,25,-0.13838642164596435,0.12776811165793045
73,abramova_2021_front,es087,ex019,con015,out048,18,23,-0.4076117196696387,0.12806494374156288
74,badache_2017_stress,es088,ex020,con016,out049,16,16,-0.05857418407224469,0.0722182961931633
75,badache_2017_stress,es089,ex020,con016,out050,16,16,-0.1508575765293545,0.07237967202276406
76,badache_2017_stress,es090,ex020,con016,out051,16,16,1.7949568486524616,0.20023707324120452
77,badache_2017_stress,es091,ex020,con016,out052,16,16,-0.01158101364167433,0.07312594602309036
78,badache_2017_stress,es092,ex020,con016,out053,16,16,-0.08316508800785308,0.07303740661888719
79,badache_2017_stress,es093,ex020,con016,out054,16,16,0.05584316428941276,0.07490625496796142
80,whitlow_1978_thesis,es094,ex021,con017,out055,20,20,-0.0408956098066358,0.04020620011349124
81,whitlow_1978_thesis,es095,ex022,con017,out055,20,20,0.03759939091461903,0.04026585827745659
82,whitlow_1978_thesis,es096,ex021,con017,out055,20,20,-0.03705740789024178,0.04068771813374446
83,whitlow_1978_thesis,es097,ex022,con017,out055,20,20,0.03725985813029488,0.04078152164030246
84,whitlow_1978_thesis,es098,ex021,con017,out055,20,20,-0.21629001138602205,0.04190608145573463
85,whitlow_1978_thesis,es099,ex022,con017,out055,20,20,0.04778285799336156,0.04250741021328815
86,whitlow_1978_thesis,es100,ex021,con017,out056,20,20,0.09703878663254278,0.05190556257817846
87,whitlow_1978_thesis,es101,ex022,con017,out056,20,20,0.09339526860613576,0.05185098036542777
88,whitlow_1978_thesis,es102,ex021,con017,out056,20,20,0.05925754089079985,0.04780959360847975
89,whitlow_1978_thesis,es103,ex022,con017,out056,20,20,0.14153700503691516,0.0486838974960634
90,whitlow_1978_thesis,es104,ex021,con017,out056,20,20,0.01966176374725231,0.05276196464891955
91,whitlow_1978_thesis,es105,ex022,con017,out056,20,20,0.10945389572496672,0.05420398678464878
92,whitlow_1978_thesis,es106,ex021,con017,out057,20,20,-0.15226455605618808,0.06465653185160206
93,whitlow_1978_thesis,es107,ex022,con017,out057,20,20,-0.07323604690905693,0.0662778414381727
94,whitlow_1978_thesis,es108,ex021,con017,out057,20,20,0.05516521173001346,0.06338287914827301
95,whitlow_1978_thesis,es109,ex022,con017,out057,20,20,0.09389475314573072,0.06450387322523385
96,whitlow_1978_thesis,es110,ex021,con017,out057,20,20,-0.3948136285966722,0.07357108024982031
97,whitlow_1978_thesis,es111,ex022,con017,out057,20,20,-0.44675337661577824,0.07312428392103032
98,whitlow_1978_thesis,es112,ex021,con018,out058,20,20,-0.2209625529683469,0.04039240862317642
99,whitlow_1978_thesis,es113,ex022,con018,out058,20,20,-0.14246755224709207,0.04044026387645746
100,whitlow_1978_thesis,es114,ex021,con018,out058,20,20,-0.14933299059541155,0.04086071132529328
101,whitlow_1978_thesis,es115,ex022,con018,out058,20,20,-0.07501572457487489,0.04094337007073159
102,whitlow_1978_thesis,es116,ex021,con018,out058,20,20,-0.16726989917076138,0.04174735664278611
103,whitlow_1978_thesis,es117,ex022,con018,out058,20,20,0.09680297020862225,0.0423824527993757
104,whitlow_1978_thesis,es118,ex021,con018,out059,20,20,0.04749808021993866,0.05244956189680124
105,whitlow_1978_thesis,es119,ex022,con018,out059,20,20,0.04385456219353163,0.05239731324861092
106,whitlow_1978_thesis,es120,ex021,con018,out059,20,20,-0.23671963959785283,0.05132206682610724
107,whitlow_1978_thesis,es121,ex022,con018,out059,20,20,-0.15444017545173755,0.05194543231204057
108,whitlow_1978_thesis,es122,ex021,con018,out059,20,20,0.02065773146826774,0.05274910948249915
109,whitlow_1978_thesis,es123,ex022,con018,out059,20,20,0.11044986344598216,0.05419241009707123
110,whitlow_1978_thesis,es124,ex021,con018,out060,20,20,0.00150091207060943,0.06047080946275102
111,whitlow_1978_thesis,es125,ex022,con018,out060,20,20,0.08052942121774058,0.06239413542956587
112,whitlow_1978_thesis,es126,ex021,con018,out060,20,20,-0.12691542934054764,0.06870456666182248
113,whitlow_1978_thesis,es127,ex022,con018,out060,20,20,-0.08818588792483038,0.06962648622594811
114,whitlow_1978_thesis,es128,ex021,con018,out060,20,20,0.03708931748839685,0.05821174782683074
115,whitlow_1978_thesis,es129,ex022,con018,out060,20,20,-0.01485043053070921,0.05722469198729187
116,abramova_2020_genpath,es130,ex023,con019,out061,19,8,0.3190874895169727,0.12425683580119698
117,abramova_2020_genpath,es131,ex024,con020,out061,16,8,0.19073466937400507,0.1198313393153315
118,abramova_2020_genpath,es132,ex023,con019,out062,19,8,0.452797218847558,0.12095004039447171
119,abramova_2020_genpath,es133,ex024,con020,out062,16,8,0.27997312869749635,0.11761637673327575
120,abramova_2020_genpath,es134,ex023,con019,out063,19,8,-0.6257958577072824,0.4500401590546057
121,abramova_2020_genpath,es135,ex024,con020,out063,16,8,0.08360167237642116,0.19491784410405352
122,abramova_2020_genpath,es136,ex023,con019,out064,19,8,-0.3882010761204367,0.21540794393779197
123,abramova_2020_genpath,es137,ex024,con020,out064,16,8,-0.2994784339992701,0.25547465923457274
124,abramova_2020_genpath,es138,ex023,con019,out065,19,8,-0.14062754370953012,0.5271744376610327
125,abramova_2020_genpath,es139,ex024,con020,out065,16,8,-0.7299019048596972,0.9962973008771292
126,abramova_2020_genpath,es140,ex023,con019,out066,19,8,-0.44826051415402046,0.19329078283166368
127,abramova_2020_genpath,es141,ex024,con020,out066,16,8,-0.342376569022552,0.16714383715649098
128,abramova_2020_genpath,es160,ex023,con019,out076,19,21,0.3961844648724609,0.0636675479510512
129,abramova_2020_genpath,es161,ex024,con020,out076,16,18,0.1562934128568103,0.07658825725693173
130,abramova_2020_genpath,es162,ex023,con019,out077,19,8,-0.3009544864978221,0.16390879555277169
131,abramova_2020_genpath,es163,ex024,con020,out077,16,17,0.4909457432384228,0.1037218083715824
132,abramova_2023_biopsy,es164,ex025,con021,out078,10,9,1.0776904331656068,0.14268156310530017
133,abramova_2023_biopsy,es165,ex026,con022,out078,8,10,0.806346550807797,0.15820426616884437
134,abramova_2023_biopsy,es166,ex025,con021,out079,10,9,0.7143597657572149,0.1437413222117211
135,abramova_2023_biopsy,es167,ex026,con022,out079,8,10,0.02363279229547028,0.1529347523552214
136,abramova_2023_biopsy,es168,ex025,con021,out080,10,9,0.5638633101135674,0.49890520333787114
137,abramova_2023_biopsy,es169,ex026,con022,out080,8,10,0.850079827768542,0.8947200220998391
138,abramova_2023_biopsy,es170,ex025,con021,out081,10,9,0.1960163184610355,0.2194610894202488
139,abramova_2023_biopsy,es171,ex026,con022,out081,8,10,0.36964414576439014,0.2251113105681495
140,abramova_2023_biopsy,es172,ex025,con021,out082,10,9,0.27040603929466267,0.2197644126760109
141,abramova_2023_biopsy,es173,ex026,con022,out082,8,10,1.211886186850283,0.2072275974000776
142,abramova_2023_biopsy,es174,ex025,con021,out083,10,9,-0.13155923318799145,0.17406912038567493
143,abramova_2023_biopsy,es175,ex026,con022,out083,8,10,0.3946231614539504,0.18541806612920064
144,abramova_2023_biopsy,es176,ex025,con021,out084,10,9,1.596712382329884,0.43642915141244815
145,abramova_2023_biopsy,es177,ex026,con022,out084,8,10,1.1052195534461964,0.8716909515939237
146,abramova_2023_biopsy,es178,ex025,con021,out085,10,9,0.7142812314199979,0.12144110466812774
147,abramova_2023_biopsy,es179,ex026,con022,out085,8,10,0.703290677791446,0.1290397199716981
148,abramova_2023_biopsy,es180,ex025,con021,out086,10,9,0.4879065805140808,0.41720577162141126
149,abramova_2023_biopsy,es181,ex026,con022,out086,8,10,0.1585126198819405,0.27508996409629755
150,abramova_2023_biopsy,es182,ex025,con021,out087,10,9,0.5573800793456317,0.22016867353536504
151,abramova_2023_biopsy,es183,ex026,con022,out087,8,10,0.48808922334692006,0.20264948154313023
152,abramova_2023_biopsy,es184,ex025,con021,out088,10,9,1.3799741942529673,0.6821230333740524
153,abramova_2023_biopsy,es185,ex026,con022,out088,8,10,1.1601176742744388,0.39824222238596574
154,abramova_2023_biopsy,es186,ex025,con021,out089,10,9,0.09042060450416566,0.22325870851229956
155,abramova_2023_biopsy,es187,ex026,con022,out089,8,10,0.20468119285590539,0.19470003695974047
156,abramova_2023_biopsy,es188,ex025,con021,out090,10,9,0.3363361739964134,0.15905624432809112
157,abramova_2023_biopsy,es189,ex026,con022,out090,8,10,0.01625798350011486,0.14223739218657597
158,abramova_2023_biopsy,es190,ex025,con021,out091,10,9,-0.02099930851194964,0.7906970224768457
159,abramova_2023_biopsy,es191,ex026,con022,out091,8,10,-0.1729440842019106,0.7689254600248705
160,abramova_2023_biopsy,es192,ex025,con021,out092,10,9,-0.6012824512249264,0.21473280898128527
161,abramova_2023_biopsy,es193,ex026,con022,out092,8,10,0.41753328075102497,0.2809804783657407
162,abramova_2023_biopsy,es194,ex025,con021,out093,10,9,0.5698276411455041,0.27244446448969684
163,abramova_2023_biopsy,es195,ex026,con022,out093,8,10,1.047936142811024,0.42133251658177706
164,abramova_2023_biopsy,es196,ex025,con021,out094,10,9,-0.08760194587927236,0.24087057715932825
165,abramova_2023_biopsy,es197,ex026,con022,out094,8,10,0.7115193366677577,0.25535800710099166
166,abramova_2023_biopsy,es198,ex025,con021,out095,10,9,-0.17730214468018482,0.13172267629092868
167,abramova_2023_biopsy,es199,ex026,con022,out095,8,10,-0.8985686969817998,0.14085022718249093
168,abramova_2023_biopsy,es200,ex025,con021,out096,10,9,-0.20862857273235452,0.15998549369154474
169,abramova_2023_biopsy,es201,ex026,con022,out096,8,10,-0.913103028253198,0.15803615553914355
170,abramova_2023_biopsy,es202,ex025,con021,out097,10,9,-0.11578078327774204,0.12519228961226395
171,abramova_2023_biopsy,es203,ex026,con022,out097,8,10,-1.2903468691425477,0.1418089445762234
172,abramova_2023_biopsy,es204,ex025,con021,out098,10,9,0.3668459001426169,0.1962093358048795
173,abramova_2023_biopsy,es205,ex026,con022,out098,8,10,0.03298169169344979,0.1937651445867895
174,abramova_2023_biopsy,es206,ex025,con021,out099,10,9,-0.4438802113274203,0.6868791429967802
175,abramova_2023_biopsy,es207,ex026,con022,out099,8,10,-0.177096908829128,1.0678779396764786
