key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-386282791,Gender differences in the effects of prenatal stress on brain development and behaviour     SO  - NEUROCHEMICAL RESEARCH,2007,,,,,32,,,"",,,,,"An increased incidence of anxiety, depression and attention deficits in children has been linked to psychological stress during pregnancy. Subjection of a pregnant rat to stress at a time when the foetal limbic and hypothalamic pituitary adrenal (HPA) axes develop results in anxiogenic and depressive behaviour and learning and attention deficits in the offspring, which depend on its gender, intensity and timing of the maternal stress and behaviour being tested. Maternal stress increases corticosterone levels in the foetal brain, decreases foetal testosterone and brain aromatase activity in males, and alters brain catecholamine activity to that in females. Learning deficits, reductions in hippocampal neurogenesis, LTP and dendritic spine density in the prefrontal cortex are more readily seen in prenatally-stressed males, while anxiety, depression and increased response of the HPA axis to stress are more prevalent in females. Genders may differ in the sensitivity of developing brain areas to stress hormones.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""Anna""=>[""review""]}",10.1007/s11064-007-9339-4,character(0),,
rayyan-386282801,"Open field behavior of C57BL/6J mice as a function of age, experience, and prenatal maternal stress     SO  - PSYCHONOMIC SCIENCE",1964,,,,,1,,,"",https://search.library.ualberta.ca/openurl/01UOA_INST/01UOA_INST:UOA?sid=OVID:psycdb&id=pmid:&id=doi:10.3758%2FBF03342972&issn=0033-3131&isbn=&volume=1&issue=12&spage=389&pages=389-390&date=1964&title=Psychonomic+Science&atitle=Open+field+behavior+of+C57BL%2F6J+mice+as+a+function+of+age%2C+experience%2C+and+prenatal+maternal+stress.&aulast=Defries&pid=%3Cauthor%3EDefries%2C+J.+C%2CWeir%2C+Morton+W%3C%2Fauthor%3E%3CAN%3E1965-07108-001%3C%2FAN%3E%3CDT%3EJournal+Article%3C%2FDT%3E,,,,"In order to assess the role of age, prior test experience and prenatal maternal stress on open-field behavior, both stressed (treated) and control litters were divided into 2 groups. Group 1 was tested in the open field at both 40 and 120 days of age, and Group 2 at only 120 days. Comparison of activity level and location of activity in the open field of naive Ss at 40 days of age with those of naive Ss at 120 days of age demonstrated significant effects. Similarly, comparisons of these behaviors of experienced Ss at 120 days with those of naive Ss at the same age, indicated effects of prior test experience. In addition, possible interactions of both age and prior test experience with the effects of prenatal stress were indicated. The importance of these findings for the design of studies in which the effects of experimental variables are examined at several different ages is discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""swimming stress""]}",https://dx.doi.org/10.3758/BF03342972,*Age Differences;*Animal Maternal Behavior;*Animal Open Field Behavior;*Mice;*Stress,,
rayyan-386282810,Action of antidepressant drugs on maternal stress-induced hypoactivity in female rats     SO  - METHODS AND FINDINGS IN EXPERIMENTAL AND CLINICAL PHARMACOLOGY,1999,,,,,21,,,"",,,,,"It has been reported that rats forced to swim in a restricted space assume, after initial frenzied attempts to escape, an immobile posture. Porsolt et al. referred to this phenomenon as ``behavioral despair{''}, an animal model of depression. Prenatal stress induces an increase of behavioral depression in adult female offspring. This study presents new evidence supporting the hypothesis that maternal stress during gestation increases the risk of depression in the offspring since immobility time was modified by antidepressant drugs (tricyclics and an atypical antidepressant). In rats, amitriptyline (5 mg/kg), imipramine (5 mg/kg) and nomifensine (1 mg/kg) decreased the immobility time in Porsolt test in offspring of mothers stressed during gestation. Moreover, increasing doses of amitriptyline (1, 5 25 and 40 mg/kg) reduced depression in the forced swimming test in dose-dependent manner. (C) 1999 Prous Science. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""No full text access, they don't specify in what we can see the type of stress"", ""suspension stress""]}",https://doi.org/10.1358/mf.1999.21.4.538181,character(0),,
rayyan-386282812,"INVOLVEMENT OF PGLUR1, EAAT2 AND EAAT3 IN OFFSPRING DEPRESSION INDUCED BY PRENATAL STRESS     SO  - NEUROSCIENCE",2013,,,,,250,,,"",,,,,"It is widely known that prenatal stress (PS) exposure causes depression-like behaviour to offspring, as well as maladaptive responses including neurobiological and physiological changes. However, the underlying mechanism of PS induced juvenile-onset depression remains largely unravelled. The inadequacies of monoamine deficiency hypothesis, the emerging evidence of altered glutamate neurotransmission in mood disorders, as well as our previous studies inspired us to assess the potential role of gluta-matergic system in the pathogenesis of juvenile depression. In this research, we examined the expression of phosphorylated GluR1 subunit of ionotropic receptor alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor (AMPAR), the Na+-dependent glutamate transporters excitatory amino acid transporter 2 (EAAT2) and EAAT3 in the hippocampus, striatum and frontal cortex of 1-month-old rat offspring after mid and late PS exposure. Prenatally stressed offspring rats showed significantly prolonged duration of immobility and shortened immobility latency in tail suspension test. We also detected that PS significantly altered the expression of glutamate receptor and glutamate transporters of these depressed rats. In brief, the changes of phosphorylated GluR1 subunit of AMPAR protein level in the hippocampus and frontal cortex, as well as markedly decreased EAAT2 mRNA expression in the hippocampus, striatum and frontal cortex and EAAT3 mRNA expression in the hippocampus of stressed rats were both observed. These results underpinned that glutamate receptors and glutamate transporters might be involved in the progress of depression-like behaviour in juvenile rat offspring induced by PS. (c) 2013 IBRO. Published by Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint""]}",10.1016/j.neuroscience.2013.04.031,character(0),,
rayyan-386282821,Duloxetine prevents the effects of prenatal stress on depressive-like and anxiety-like behavior and hippocampal expression of pro-inflammatory cytokines in adult male offspring rats     SO  - INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,2016,,,,,55,,,"",,,,,"Stress during pregnancy may cause neurodevelopmental and psychiatric disorders. However, the mechanisms are largely unknown. Currently, pro-inflammatory cytokines have been identified as a risk factor for depression and anxiety disorder. Unfortunately, there is very little research on the long-term effects of prenatal stress on the neuroinflammatory system of offspring. Moreover, the relationship between antidepressant treatment and cytokines in the central nervous system, especially in the hippocampus, an important emotion modulation center, is unclear. Therefore, the aim of this study was to determine the effects of prenatal chronic mild stress during development on affective-like behaviors and hippocampal cytokines in adult offspring, and to verify whether antidepressant (duloxetine) administration from early adulthood could prevent the harmful consequences. To do so, prenatally stressed and non-stressed Sprague-Dawley rats were treated with either duloxetine (10 mg/kg/day) or vehicle from postnatal day 60 for 21 days. Adult offspring were divided into four groups: 1) prenatal stress + duloxetine treatment, 2) prenatal stress + vehicle, 3) duloxetine treatment alone, and 4) vehicle alone. Adult offspring were assessed for anxiety-like behavior using the open field test and depression-like behavior using the forced swim test. Brains were analyzed for pro-inflammatory cytokine markers in the hippocampus via real-time PCR. Results demonstrate that prenatal stress-induced anxiety- and depression-like behaviors are associated with an increase in hippocampal inflammatory mediators, and duloxetine administration prevents the increased hippocampal pro-inflammatory cytokine interleukin-6 and anxiety- and depression-like behavior in prenatally stressed adult offspring. This research provides important evidence on the long-term effect of PNS exposure during development in a model of maternal adversity to study the pathogenesis of depression and its therapeutic interventions. (C) 2016 ISDN. Published by Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""prenatal stress paradigm, variable stress""]}",10.1016/j.ijdevneu.2016.09.005,character(0),,
rayyan-386282858,[Characterization of depression-like behavior in prenatally stressed female rats during ovary cycle]     SO  - Rossiiskii fiziologicheskii zhurnal imeni I.M. Sechenova,2012,,,,,98,,,"",https://pubmed.ncbi.nlm.nih.gov/22645947/,,,,"The aim of the present work was a comparative analysis of dynamics of depression-like behavior in prenatally stressed and non-prenatally stressed female rats in the key phases of the ovary cycle. It was found that non-stressed female rats demonstrated high level of depression-like behavior in proestrous phase as compared to the diestrous phase, whereas these rats showed low level of depression-like behavior in estrous phase in Porsolt's test. On the contrary, there were no significant differences in extent of depression-like behavior between prenatally stressed rats in the diestrous and proestrous, although in the phase of estrous in these animals an increase in level of depression-like behavior was noted. Thus, the results of this study indicated pronounced effects of prenatal stress on the character of depression-like behavior of females in different phases of ovary cycle. This study revealed leveling and reversed action of prenatal stress on depression-like behavior in key phases of sexual cycle in female rats.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Article in Russian. I couldn't find the full text to read the complete abstract. By the keywords they might have used swimming to stress rats: Physical Exertion, Swimming"", ""I requested the full-text in Research Gate"", ""I requested full-text to library""]}",,Animals;Behavior;Animal/*physiology;Depression/*physiopathology;Estrus/*physiology;Female;Physical Exertion;Pregna...;Wistar;Sexual Behavior;Animal;Stress;Physiological;Swimming,,
rayyan-386282859,The impact of mitochondrial aldehyde dehydrogenase (ALDH2) activation by Alda-1 on the behavioral and biochemical disturbances in animal model of depression     SO  - BRAIN BEHAVIOR AND IMMUNITY,2016,,,,,51,,,"",,,,,"The etiology of depression remains still unclear. Recently, it has been proposed, that mitochondrial dysfunction may be associated with development of mood disorders, such as depression, bipolar disorder and anxiety disorders. Mitochondrial aldehyde dehydrogenase (ALDH2), an enzyme responsible for the detoxification of reactive aldehydes, is considered to exert protective function in mitochondria. We investigated the influence of Alda-1, a small-molecule activator of ALDH2, on depressive- and anxiety-like behaviors in an animal model of depression - the prenatally stressed rats - using behavioral, molecular and proteomic methods. Prolonged Alda-1 administration significantly increased the climbing time, tended to reduce the immobility time and increased the swimming time of the prenatally stressed rats in the forced swim test. Moreover, treatment of prenatally stressed rats with Alda-1 significantly increased number of entries into the open arms of the maze and the time spent therein, as assessed by elevated plus-maze test. Such actions were associated with reduction of plasma 4-HNE-protein content, decrease of TNF-alpha mRNA and increase of PGC-1 alpha (regulator of mitochondrial biogenesis) mRNA level in the frontal cortex and hippocampus of the prenatally stressed rats as well as with normalization of peripheral immune parameters and significant changes in expression of 6 and 4 proteins related to mitochondrial functions in the frontal cortex and hippocampus, respectively. Collectively, ALDH2 activation by Alda-1 led to a significant attenuation of depressive- and anxiety-like behaviors in the prenatally stressed rats. The pattern of changes suggested mitoprotective effect of Alda-1, however the exact functional consequences of the revealed alterations require further investigation. (C) 2015 Elsevier Inc. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint and lights ""]}",10.1016/j.bbi.2015.08.004,character(0),,
rayyan-386282868,Prenatal stress alters sensitivity to benzodiazepines in adult rats     SO  - NEUROSCIENCE LETTERS,2015,,,,,591,,,"",,,,,"In rats, prenatal stress (PS) induces persistent changes in the brain that eventually can be translated in altered behavior leading to a greater consumption of psychostimulants in the offspring during adulthood. Though many studies have been carried on the effects of PS on stimulant drug responsiveness, little is known about susceptibility to benzodiazepines dependence in this animal model. We hereby examined the long-lasting impact of PS exposure during the last 10 days of pregnancy on the vulnerability to benzodiazepine addiction in adult rats. In addition, we also investigated the link between PS and the sensitivity to anxiolytics. Our results reveal that PS offspring exhibited a significantly greater preference to the diazepam-paired side than control offspring in the conditioned place preference. Importantly, we found that PS enhanced the anxiolytic effects of diazepam in the elevated plus maze paradigm. This work demonstrates that PS increased the abuse potential of benzodiazepines and the sensitivity to anxiolytic drugs in offspring of stressed mothers. Thus, investigating the interactions among addiction and PS may contribute to a better understanding how early life events modify neural circuitry and thereby behavior. (C) 2015 Elsevier Ireland Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""shocks ""]}",10.1016/j.neulet.2015.02.015,character(0),,
rayyan-386282921,Ferulic Acid Improves Depressive-Like Behavior in Prenatally-Stressed Offspring Rats via Anti-Inflammatory Activity and HPA Axis     SO  - INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,2019,,,,,20,,,"",,,,,"Prenatal stress (PS) can increase the risk of nervous, endocrine and metabolic diseases, and immune dysfunction. Ferulic acid (FA) is a dietary phenolic acid that has pharmacological properties, including potent anti-inflammatory action. We used male, prenatally-stressed offspring rats to investigate the anti-depressive-like effects and possible anti-inflammatory mechanism of FA. We determined the animal behaviors, and the mRNA expression and concentration of inflammatory cytokines, and HPA axis. In addition, we assessed the modulation of hippocampal nuclear factor-B (NF-B) activation, neuronal nitric oxide synthase (nNOS) and glucocorticoid receptors (GR) expression via western blotting and immunohistochemistry. Administration of FA (12.5, 25, and 50 mg/kg/day, i.g.) for 28 days markedly increased sucrose intake, and decreased immobility time and total number of crossings, center crossings, rearing, and grooming in the male PS offspring. FA significantly reduced IL-6, IL-1, and TNF- concentration and increased IL-10 concentration in male, prenatally-stressed offspring, stimulated by the NF-B pathway. In addition, FA inhibited interleukin-6 (IL-6), interleukin-1 (IL-1), and tumor necrosis factor- (TNF-), and increased interleukin-10 (IL-10) mRNA and protein expression. Furthermore, FA markedly decreased the serum adrenocorticotropin (ACTH) and corticosterone concentration by the increase of GR protein expression. Taken together, this study revealed that FA has anti-depressive-like effects in male, prenatally-stressed offspring, partially due to its anti-inflammatory activity and hypothalamic-pituitary-adrenal (HPA) axis.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""rest""]}",10.3390/ijms20030493,character(0),,
rayyan-386283005,Sex-Dependent Effects of Prenatal Stress on Learned Helplessness and Anxiety-Related Behaviours in Wistar Rats,,,,,,,,,"",,,,,"There has been an increasing importance of studies that link sex to stress coping processes. Recently, we reported that male and female Wistar rats responded differently to prenatal stress (PS) under basal conditions. The aim of the present study was to determine the influence of sex on behaviour and coping strategies, as an effect of gestational adversity in rats that were exposed to an uncontrollable stressor. Once the animals reached adulthood, the offspring from stressed/non-stressed dams were subjected or not to antidepressant treatment with Sertraline. After that, they were exposed to a single inescapable shock (IS) session, in which the rats were further tested for escape behaviour along 10 days, as a model of learned helplessness (LH). In prenatally stressed animals after the IS, behavioural differences appeared in a sex specific manner. Males proved to be more susceptible to the adverse context than females, exhibiting behavioural despair in a large percentage of the cases. Surprisingly, PS did not affect shock escape failure, but did affect learning performance in a sex dependent manner. In females, PS led them to learn to avoid shocks, learning better than controls, and by contrast, PS males did not learn to avoid shocks and displayed some signs of anhedonia. Sertraline did not help animals to avoid shocks, but helped them to escape from it. Our data indicate the existence of sex dependent behavioural differences in PS animals when facing an uncontrollable stress situation, in which the changes induced by PS were not only different, but opposite between sexes.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""gestational adversity in rats that were exposed to an uncontrollable stressor (cilinder + bright light)""]}",https://doi.org/10.4236/jbbs.2015.57026,character(0),,
rayyan-386283023,Sex- and age- dependent effect of pre-gestational chronic stress and mirtazapine treatment on neurobehavioral development of Wistar rat offspring     SO  - PLOS ONE,2022,,,,,17,,,"",,,,,"Hormonal fluctuations, such as the perinatal period, may increase susceptibility of women to depression, which in turn exert a negative impact on child's neurodevelopment, becoming a risk factor in development of neuropsychiatric disorders. Moreover, the use of antidepressants during this critical period presents a serious health concern for both the mother and the child, due to the consequences of treatment in terms of the reliability and safety for the proper neurodevelopment of the organism being not well known. Atypical antidepressants, such as mirtazapine, that targets both serotonergic and noradrenergic systems in the central nervous system (CNS), represent a novel focus of research due to its unique pharmacological profile. The aim of this work was to study the effects of maternal depression and/or perinatal antidepressant mirtazapine treatment on the neurobehavioral development of the offspring. Pre-gestationally chronically stressed or non-stressed Wistar rat dams were treated with either mirtazapine (10 mg/kg/day) or vehicle during pregnancy and lactation followed by analysis of offspring's behavior at juvenile and adolescent age. We found mirtazapine induced significant alterations of nursing behavior. In offspring, pregestational stress (PS) had an anxiogenic effect on adolescent males (p <= 0.05) and increased their active behavior in forced swim test (p <= 0.01). Interaction between pregestational stress and mirtazapine treatment variously induced anxiolytic changes of juvenile (p <= 0.05) and adolescent (p <= 0.05) females and impairment of spatial memory (p <= 0.01) in adolescent females as well. Hippocampal density of synaptophysin, pre-synaptic protein marker, was decreased mainly by mirtazapine treatment. In conclusion, our results show mirtazapine induced significant alterations in maternal behavior and several sex- and age-dependent changes in neurobehavioral development of offspring caused by both prenatal mirtazapine treatment and/or chronic pregestational stress.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Chronic unpredictable stress schedule—no noise""]}",10.1371/journal.pone.0255546,character(0),,
rayyan-386283046,Prenatal maternal stress alters depression-related symptoms in a strain- and sex-dependent manner in rodent offspring     SO  - LIFE SCIENCES,2020,,,,,251,,,"",,,,,"Stress during pregnancy adversely affects foetal development and leads to later behavioural outcomes in offspring. Preclinical studies have reported conflicting effects of prenatal stress on depression-related symptoms in rodent offspring. This study aimed to study the combined effect of strain and sex on prenatal stress outcomes in a single study. To this end, male and female offspring from outbred Wistar and inbred Lewis rats, and outbred NMRI and inbred C57BL6 mice were compared. As outcomes we focussed on depression-related behaviour and related molecular and neurochemical parameters. Prenatally stressed and non-stressed offspring were subjected to the sucrose preference, novelty-suppressed feeding, tail suspension, and forced swim tests. We measured basal and stress-induced corticosterone levels in the serum, and brain-derived-neurotrophic-factor (BDNF), interleukin-1 beta, tumor necrosis factor-alpha, glutamate and serotonin in the brain to determine changes in hypothalamic-pituitary-adrenal-(HPA)-axis function, neuroplasticity, neuroinflammation, and neurotransmission. Our findings revealed that prenatal stress increases depression-like behaviour, HPA-axis (re) activity, pro-inflammatory cytokines and glutamate levels, and decreases BDNF and serotonin levels in a strain and sex-dependent manner in rodent offspring. Overall, male and female Lewis rats, female Wistar rats, male NMRI mice and female C57BL6 mice were found to be most responsive to prenatal stress. Based on these results, we conclude that genetic background and sex contribute to the great diversity in the effects of prenatal maternal stress in rodents.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""plastic transparent cylinders (rats: 7.5 cm diameter, 19 cm long; mice: 4 cm diameter, 10 cm long) under a single 60-W light bulb for 30 min, ""]}",10.1016/j.lfs.2020.117597,character(0),,
rayyan-386283061,Social and Cognitive Impairments in Rat Offspring after Ultrasound-Induced Prenatal Stress     SO  - BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,2020,,,,,168,,,"",,,,,"We studied the possibility of developing an autism model based on chronic prenatal psychological stress caused by variable frequency ultrasound 20-45 kHz. The offspring of female rats stressed during pregnancy demonstrated reduced time of social contacts in the social interaction test, increased anxiety in the open-field test, and memory impairment in the Morris water maze test in comparison with the control (intact) rat offspring. We also found a reducing trend in the BDNF gene expression in the amygdala in males of the experimental group. The results showed the possibility of developing the animal autism model based on prenatal stress.","RAYYAN-INCLUSION: {""Anna""=>""Included""}",10.1007/s10517-020-04790-0,character(0),,
rayyan-386283068,Long-term recovery from hippocampal-related behavioral and biochemical abnormalities induced by noise exposure during brain development. Evaluation of auditory …     SO  - International Journal of …,2014,,,,,,,,"",https://www.sciencedirect.com/science/article/pii/S0736574814000847,,,,"… Our results show that hippocampal-related behavioral and biochemical changes (impairments in habituation, recognition and associative memories as well as distortion of anxiety-…","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | USER-NOTES: {""Anna""=>[""wrong population, not prenatally exposed""]}",10.1016/j.ijdevneu.2014.06.002,character(0),,
rayyan-386283075,Investigation of the long term effects of chronic white noise stress on learning in radial arm maze and behaviors in forced swim test     SO  - ANKARA UNIVERSITESI VETERINER FAKULTESI DERGISI,2011,,,,,58,,,"",,,,,"The long-term effects of 100 dB chronic white noise stress (WNS), exposed during prenatal and adolescent periods, on some cognitive functions and behaviors in rats were investigated. For this purpose, 40 female Sprague Dawley rats and their 60 male offspring were used. Pregnant rats were divided into Prenatal Stress (PS) and Prenatal Control (PC) groups. Noise stress was applied to PS group between the 14th and 21st days of their pregnancy, while PC rats were left undisturbed. After weaning, 60 male pups of PS dams were assigned to prenatal + chronic postnatal stress (PSCS), prenatal stress + non stress (PSN) and Control (CON) groups. During the postnatal 30th and 51st days, WNS was applied to PSCS rats, while PSN and CON groups were left undisturbed. The effects of stress on adult male offspring were investigated using 8-arm radial maze and forced swimming tests. There were no significant differences among groups for cognition and behavior tests. These results indicate that chronic 100 dB WNS does not have log-term effects on cognitive functions and depression related behaviors of adult male offspring.","RAYYAN-INCLUSION: {""Anna""=>""Included""}",10.1501/Vetfak\_0000002481,character(0),,
rayyan-386283175,Prenatal stress induces a depressive-like phenotype in adolescent rats: The key role of TGF-β1 pathway     SO  - FRONTIERS IN PHARMACOLOGY,2022,,,,,13,,,"",,,,,"Stressful experiences early in life, especially in the prenatal period, can increase the risk to develop depression during adolescence. However, there may be important qualitative and quantitative differences in outcome of prenatal stress (PNS), where some individuals exposed to PNS are vulnerable and develop a depressive-like phenotype, while others appear to be resilient. PNS exposure, a well-established rat model of early life stress, is known to increase vulnerability to depression and a recent study demonstrated a strong interaction between transforming growth factor-beta 1 (TGF-beta 1) gene and PNS in the pathogenesis of depression. Moreover, it is well-known that the exposure to early life stress experiences induces brain oxidative damage by increasing nitric oxide levels and decreasing antioxidant factors. In the present work, we examined the role of TGF-beta 1 pathway in an animal model of adolescent depression induced by PNS obtained by exposing pregnant females to a stressful condition during the last week of gestation. We performed behavioral tests to identify vulnerable or resilient subjects in the obtained litters (postnatal day, PND > 35) and we carried out molecular analyses on hippocampus, a brain area with a key role in the pathogenesis of depression. We found that female, but not male, PNS adolescent rats exhibited a depressive-like behavior in forced swim test (FST), whereas both male and female PNS rats showed a deficit of recognition memory as assessed by novel object recognition test (NOR). Interestingly, we found an increased expression of type 2 TGF-beta 1 receptor (TGF beta-R2) in the hippocampus of both male and female resilient PNS rats, with higher plasma TGF-beta 1 levels in male, but not in female, PNS rats. Furthermore, PNS induced the activation of oxidative stress pathways by increasing inducible nitric oxide synthase (iNOS), NADPH oxidase 1 (NOX1) and NOX2 levels in the hippocampus of both male and female PNS adolescent rats. Our data suggest that high levels of TGF-beta 1 and its receptor TGF beta-R2 can significantly increase the resiliency of adolescent rats to PNS, suggesting that TGF-beta 1 pathway might represent a novel pharmacological target to prevent adolescent depression in rats.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>["" transparent cylinders (9 cm diameter, 9 cm height, and 20 cm length) and exposed to bright light ""]}",10.3389/fphar.2022.1075746,character(0),,
rayyan-386283208,Prenatal noise stress aggravates cognitive decline and the onset and progression of beta amyloid pathology in a mouse model of Alzheimer's disease     SO  - NEUROBIOLOGY OF AGING,2019,,,,,77,,,"",,,,,"Environmental distresses occurring during the sensitive periods of early life may exacerbate the vulnerability to develop physical and mental diseases in old age. Studies have shown the impact of prenatal stress (PS) on the endocrine development and reprogramming of hypothalamic-pituitary-adrenal axis functions in association with cognitive development and susceptibility to neuropsychiatric diseases. Long-term exposure to glucocorticoids can damage the brain and intensify the progression of Alzheimer's disease (AD)-like neuropathological changes, especially in females. There is, however, less information as to the link between PS and the risk of developing AD pathology throughout the lifespan. - In the present study, male and female APPS(NL-G-F/NL-G-F) offspring of dams exposed to gestational noise stress were compared with the control offspring in corticosterone alternations, cognitive and motor performances, and the onset age and development of amyloid beta (A beta) plaques across age. The hyperactivity of the hypothalamic-pituitary-adrenal axis, spatial learning, and A beta development were sex specific, showing persistent high levels of stress and further memory loss in females than males, especially in PS mice. The A beta deposition was started earlier, by 2-3 months, and exhibited a heightened progression in PS animals. The PS also created a long-lasting anxiety-like behavior and impairment in cognitive function and motor coordination. Our results suggested PS as a risk to exacerbate AD-like neuropathological changes during the lifespan, with higher susceptibility of females. The findings were discussed in line with the most likely mechanisms for the PS effects, that is, dysregulation of the neuroendocrine system and the placenta by the PS. (C) 2019 Elsevier Inc. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""Anna""=>[""wrong population""]}",10.1016/j.neurobiolaging.2019.01.019,character(0),,
rayyan-386283209,CRTC1 signaling involvement in depression-like behavior of prenatally stressed offspring rat     SO  - BEHAVIOURAL BRAIN RESEARCH,2021,,,,,399,,,"",,,,,"A large body of literature has demonstrated that prenatal stress (PS) can induce depression-like behavior in the offspring. However, the underlying mechanism remains largely unknown. CREB-regulated transcriptional coactivator 1(CRTC1) has recently been shown to involve in mood regulation. This research aims to investigate whether CRTC1 signaling was involved in the depression-like behavior of prenatally stressed offspring rats. Sucrose preference test (SPT), forced swimming test (FST) and open field test (OFT) were adopted to test the depression-like behavior in the male offspring rats, and CRTC1 signaling was measured. The results showed that there were significantly reduced sucrose intake in SPT and prolonged immobility time in FST in PS-exposure offspring rats. It was also found decreased levels of total CRTC1, nuclear CRTC1, calcineurin, brain-derived neurotrophic factor (BDNF) and c-fos, but increased cytoplasmic p-CRTC1 in the hippocampus (HIP) and prefrontal cortex (PFC) of the offspring rats. Furthermore, the mRNA level of CRTC1, calcineurin, BDNF, c-fos were down-regulated. Abnormal expression of CRTC1 signaling could be alleviated by fluoxetine treatment. In conclusion, our research indicated that the aberration of CRTC1 expression and/or phosphorylation activity might play a vital role in PS-induced depression-like behavior of offspring rats.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint""]}",10.1016/j.bbr.2020.113000,character(0),,
rayyan-386283223,[The study of the behavioral reactions and duration of ultrasonic vocalization in rats from females stressed during pregnancy]     SO  - Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,2025,,,,,125,,,"",https://pubmed.ncbi.nlm.nih.gov/40195110/,,,,"OBJECTIVE: To study the psycho-emotional state and its relationship to the duration of ultrasonic vocalization in the offspring of rats with physiological and stress-complicated pregnancy. MATERIAL AND METHODS: The experiments were performed on the offspring (n=120) of rats with physiological pregnancy and the offspring of animals stressed during the entire gestation period (21-23 days). Study animals were divided into the following groups: 1 - intact - males and females (n=52) born to healthy rats; 2 - stress - males and females (n=68) born to rats that underwent stress during pregnancy. At the age of 17 days, the total vocalization duration (at 50 kHz) was recorded in rats. To assess the psycho-emotional state of the offspring, the open field and elevated plus maze tests were performed at 22 days, marble burying at 35 days, and Porsolt forced swimming test at 47 days. To assess cognitive function in the offspring, short-term working memory was examined in the recognition of a new object test at 35 days and long-term memory in the conditioned passive avoidance reflex test at the age of 47 days. RESULTS: The results of the open field and elevated plus maze tests indicated that the offspring of females stressed during pregnancy showed anxious behavior. In addition, animals from stressed rats exhibited compulsive and depressive behaviors in the marble burying and Porsolt forced swimming tests. The offspring of stressed rats showed impaired reproduction of the memory traces in the conditioned passive avoidance reflex test. CONCLUSION: In the offspring of females stressed during pregnancy, anxious, compulsive, and depressive behavior is observed, accompanied by an increase in the duration of ultrasonic vocalization at 50 kHz.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure",10.17116/jnevro2025125031117,Animals;Female;Pregnancy;Rats;*Vocalization;Animal/physiology;Male;*Stress;Psychological/physiopathology/psychology;*Prenatal Exposure Delayed Effects/physiopathology/psych...;Wistar;*Behavior;Animal;*Pregnancy Complications/physiopathology/psychology;Anxiety,,
