key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-386282675,Fluoxetine normalizes the effects of prenatal maternal stress on depression- and anxiety-like behaviors in mouse dams and male offspring     SO  - BEHAVIOURAL BRAIN RESEARCH,2016,,,,,311,,,"",,,,,"Maternal depression during pregnancy and the postpartum period (lactation) is a common debilitating condition affecting mother-fetus/-infant interactions, which can be a risk factor for cognitive and affective disorders in mothers and their children. Selective-serotonin-reuptake-inhibitor-(SSRI) pharmacotherapy is known as the first-line treatment of maternal depression. However, its use during pregnancy and lactation is a topic of concern. The present study aimed to investigate the effects of prenatal stress alone or in combination with fluoxetine (FLX) on hypothalamic pituitary adrenal axis (HPA) activity, anxiety-/depression-like behaviors in dams and in offspring. To do this, gestationally-stressed and non-stressed mouse dams were orally treated with FLX-(8/mg/kg/day) from gestational day 10 to lactation day 20. The behavioral outcomes of prenatal stress and FLX treatment in dams and male offspring were assessed using the sucrose preference, forced swim, zero maze, and light-dark box tests. Stress-induced corticosterone levels were also evaluated as indicative of abnormal HPA-axis function. Our findings indicated that maternal stress resulted in increased depression-like behavior and HPA axis hyperactivity in dams during pregnancy and lactation which were reversed by FLX. Furthermore, prenatal stress increased anxiety/depression-like behaviors and HPA-axis reactivity in male offspring. These effects were reversed by maternal FLX treatment. Developmental FLX exposure, without prenatal stress, did not have any adverse effects on the above measured parameters. Our results suggest that prenatal stress induces maternal depression-like behavior which affects the development of affective symptoms in male offspring, and that remediation of maternal depression-like behavior coincidences with the normalization of anxiety- and depression-like symptoms in male offspring. (C) 2016 Elsevier B.V. All rights reserved.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Maybe noise"", ""plastic transparent cylinders (4 cm diameter, 10 cm long) under a single 60-W light bulb for 30 min,""]}",10.1016/j.bbr.2016.05.062,character(0),,
rayyan-386282676,Moderation of the transgenerational transference of antenatal stress-induced anxiety     SO  - TRANSLATIONAL PSYCHIATRY,2021,,,,,11,,,"",,,,,"Maternal stress has debilitating implications for both mother and child, including increased risk for anxiety. The current COVID-19 pandemic escalates these phenomena, thus, urging the need to further explore and validate feasible therapeutic options. Unlike the protracted nature of clinical studies, animal models could offer swift evidence. Prominent candidates for treatment are selective serotonin reuptake inhibitors (SSRIs) to the mother, that putatively accommodate maternal functioning, and, thereby, also protect the child. However, SSRIs might have deleterious effects. It is important to assess whether SSRIs and other pharmacotherapies can moderate the transference of anxiety by soothing maternal anxiety and to examine the extent of offspring's exposure to the drugs via lactation. To our knowledge, the possibility that antenatal stress exacerbates lactation-driven exposure to SSRIs has not been tested yet. Thirty ICR-outbred female mice were exposed to stress during gestation and subsequently administered with either the SSRI, escitalopram, or the novel herbal candidate, shan-zha, during lactation. Upon weaning, both dams' and pups' anxiety-like behavior and serum escitalopram levels were assessed. The major findings of the current study show that both agents moderated the antenatal stress-induced transgenerational transference of anxiety by ameliorating dams' anxiety. Interestingly though, pups' exposure to escitalopram via lactation was exacerbated by antenatal stress. The latter finding provides a significant insight into the mechanism of lactation-driven exposure to xenobiotics and calls for a further consideration vis-a-vis the administration of other drugs during breastfeeding.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Dams in the stress group were individually restrained""]}",10.1038/s41398-021-01383-x,character(0),,
rayyan-386282678,"The Modification of Offspring Stress-Related Behavior and the Expression of Drd1, Drd2, and Nr3c1 by a Western-Pattern Diet in Mus Musculus     SO  - INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES",2022,,,,,23,,,"",,,,,"The impact of early developmental experience on neurobiological pathways that may contribute to the association between diet and behavior have not yet been elucidated. The focus of the current study was to determine whether the impact of prenatal stress (PS) could be mitigated by a diet that stimulates the same neuroendocrine systems influenced by early stress, using a mouse model. Behavioral and genetic approaches were used to assess how a Western-pattern diet (WPD) interacts with PS and sex to impact the expression of anxiety-like behavior in an open-field arena, as well as the expression of the glucocorticoid receptor in the hippocampus, D1 dopamine receptors in the nucleus accumbens, and D2 dopamine receptors in the ventral tegmental area. Overall, the results demonstrated that a prenatal WPD mitigates the effects of maternal stress in dams and offspring. These results help to elucidate the relationship between pre- and post-natal nutrition, gene expression, and behaviors that lead to long-term health effects.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""restraint stress ""]}",10.3390/ijms23169245,character(0),,
rayyan-386282708,Testosterone is involved in mediating the effects of prenatal stress in male guinea pig offspring     SO  - JOURNAL OF PHYSIOLOGY-LONDON,2011,,,,,589,,,"",,,,,"Non-technical summary Studies in humans have demonstrated a link between stress during pregnancy and altered behaviour and stress reactivity in children. In guinea pigs, we have previously shown that a short period of maternal stress during gestation leads to increased anxiety, elevated basal cortisol levels and decreased testosterone levels in adult males. We hypothesized that restoring testosterone to normal levels in the adult males born to prenatally stressed mothers would reverse the changes in behaviours and endocrine function. We found differences in attention and anxiety-related behaviours and basal stress endocrine activity between the prenatally stressed and control males. Administration of testosterone reversed the behavioural differences in the prenatally stressed offspring. There was, however, little effect of postnatal testosterone administration on stress-related endocrine activity. This study provides new information to begin to address the mechanism underlying the interplay between prenatal stress, gonadal steroids and postnatal behaviours.A link exists between stress during pregnancy and altered hypothalamic-pituitary-adrenal (HPA) activity and behaviour in children. In the guinea pig, male offspring born to mothers that were exposed to stress during pregnancy demonstrated increased anxiety, basal cortisol levels and decreased testosterone concentrations. Testosterone is known to inhibit HPA function and anxiety behaviours. Therefore, we hypothesized that restoring plasma testosterone would ameliorate the differences observed in HPA function and behaviour. Pregnant guinea pigs were exposed to a stressor during the period of rapid fetal brain growth (prenatal stress, PS) or left undisturbed (control, C). Behaviour in an open-field and prepulse inhibition (PPI) of the acoustic startle reflex (ASR) was assessed in juvenile offspring. In adulthood, male offspring were divided into four groups: Control + sham gonadectomy (GDX), control + GDX + testosterone replacement, PS + sham GDX and PS + GDX + testosterone. Male offspring were retested in the open-field and PPI. Basal HPA activity was also assessed. As juveniles, PS males exhibited significantly lower ASR (P < 0.05) and elevated PPI. In adulthood, PS male offspring exhibited significantly decreased PPI (P < 0.02) and this was reversed by administration of testosterone. We also found that adult PS offspring exhibited significantly less activity in the open-field (P < 0.05) and administration of testosterone increased ambulatory activity in PS animals. Basal plasma adrenocorticotrophin hormone (ACTH) levels were significantly greater in PS animals and there was a trend towards reversal by administration of testosterone in PS males. In conclusion, prenatal stress results in male guinea pig offspring that exhibit age-dependent differences in ambulatory activity, sensorimotor gating and HPA activity. In adulthood, the behavioural changes are reversed by replacement of plasma testosterone.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""Maybe nosise"", ""strobe light for 2 h""]}",10.1113/jphysiol.2010.200543,character(0),,
rayyan-386282729,Prenatal noise stress impairs HPA axis and cognitive performance in mice     SO  - SCIENTIFIC REPORTS,2017,,,,,7,,,"",,,,,"Noise stress is a common environmental pollutant whose adverse effect on offspring performance has been less studied. This study was novel in terms of using ``noise{''} as a prenatal stress compared with physical stress to explore the effect of stress during gestation on HPA axis activation, cognitive performance, and motor coordination, as well as in investigating the effect of behavioral assessments on the corticosterone (CORT) levels. Three groups of C57BL/6 mice with a gestational history of either noise stress (NS), physical stress (PS), or no stress were examined in several behavioral tests. Plasma CORT level was significantly higher before starting the behavioral tests in NS group than the two other groups. It was significantly increased after the behavioral tests in both prenatal stressed groups relative to the controls. Stress caused anxiety-like behavior and reduced learning and memory performance in both stressed groups compared to the controls, as well as decreased motor coordination in the NS group relative to the other groups. The findings suggested that: prenatal NS severely changes the HPA axis; both prenatal stressors, and particularly NS, negatively impair the offspring's cognitive and motor performance; and, they also cause a strong susceptibility to interpret environmental experiences as stressful conditions.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | USER-NOTES: {""Anna""=>[""Wrong DOI"", ""The exposure was 5 days ""]}",10.1038/s41598-017-09799-6,character(0),,
rayyan-386282738,The Effects of Acoustic White Noise on the Rat Central Auditory System During the Fetal and Critical Neonatal Periods: A Stereological Study     SO  - Noise & health,2017,,,,,19,,,"",https://pubmed.ncbi.nlm.nih.gov/28164936/,,,,"AIM: To evaluate the effects of long-term, moderate level noise exposure during crucial periods of rat infants on stereological parameters of medial geniculate body (MGB) and auditory cortex. MATERIALS AND METHODS: Twenty-four male offspring of 12 pregnant rats were divided into four groups: fetal-to-critical period group, which were exposed to noise from the last 10 days of fetal life till postnatal day (PND) 29; fetal period group that exposed to noise during the last 10 days of fetal life; critical period group, exposed to noise from PND 15 till PND 29, and control group. White noise at 90 dB for 2 h per day was used. STATISTICAL ANALYSIS USED: Variance for variables was performed using Proc GLM followed by mean comparison by Duncan's multiple range test. RESULTS: Numerical density of neurons in MGB of fetal-to-critical period group was lower than control group. Similar results were seen in numerical density of neurons in layers IV and VI of auditory cortex. Furthermore, no significant difference was observed in the volume of auditory cortex among groups, and only MGB volume in fetal-to-critical period group was higher than other groups. Estimated total number of neurons in MGB was not significantly different among groups. CONCLUSION: It seems necessary to prevent long-term moderate level noise exposure during fetal-to-critical neonatal period.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome | USER-NOTES: {""Anna""=>[""No behavioural tests""]}",10.4103/1463-1741.199239,Animals;Animals;Newborn;Auditory Cortex/*physiology;Cell Count;Female;Fetal Development/*physiology;Geniculate Bo...,,
rayyan-386282742,Hyperexcitability of VTA dopaminergic neurons in male o ff spring exposed to physical or psychological prenatal stress     SO  - PROGRESS IN NEURO-PSYCHOPHARMACOLOGY \& BIOLOGICAL PSYCHIATRY,2020,,,,,101,,,"",https://search.library.ualberta.ca/openurl/01UOA_INST/01UOA_INST:UOA?sid=OVID:psycdb&id=pmid:&id=doi:10.1016%2Fj.pnpbp.2020.109923&issn=0278-5846&isbn=&volume=101&issue=&spage=&pages=&date=2020&title=Progress+in+Neuro-Psychopharmacology+%26+Biological+Psychiatry&atitle=Hyperexcitability+of+VTA+dopaminergic+neurons+in+male+offspring+exposed+to+physical+or+psychological+prenatal+stress.&aulast=Razavinasab&pid=%3Cauthor%3ERazavinasab%2C+Moazamehosadat%2CSheibani%2C+Vahid%2CKohlmeier%2C+Kristi+Anne%2CNazeri%2C+Masoud%2CShabani%2C+Mohammad%3C%2Fauthor%3E%3CAN%3E2020-36491-001%3C%2FAN%3E%3CDT%3EJournal+Article%3C%2FDT%3E,,,,"Prenatal stress (PS) exposure leads to cognitive and behavioral alterations in offspring including an increased risk of substance abuse and anxiety disorders. Signalling from dopamine (DA) neurons of the ventral tegmental area (VTA) in the mesoaccumbal and mesocortical pathways plays a vital role in drug dependency and anxiety behavior. To provide further knowledge about the changes in drug seeking behavior and anxiety behaviors in prenatally stressed mice, we conducted ex vivo investigations in VTA brain slices of adult male PS offspring to evaluate the effects of two types of PS (physical vs. psychological) on activity of DA neurons. Elevated plus maze (EPM) was used to assess anxiety-like behaviors and conditioned place preference (CPP) was used to evaluate drug reinforcing effects in mice. An increased anxiety-like behavior and preference to morphine was observed in prenatally stressed mice. PS VTA DA cells exhibited greater Ih current and a higher frequency and amplitude of sEPSCs, which were consistent with a greater degree of pre- or postsynaptic excitability of the VTA. This was confirmed by lower rheobase and lower firing thresholds in PS VTA neurons, as well as increases in spontaneous firing frequency. When taken together, these data suggest that alterations in VTA DA neurons in this mouse model of prenatal stress might be associated with later life alterations in drug seeking and anxiety-like behaviors through their role in mesocortical and mesoaccumbal pathways. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""physical and psychological stress""]}",https://dx.doi.org/10.1016/j.pnpbp.2020.109923,*Animal Behavior;*Neurons;*Prenatal Exposure;*Stress;*Tegmentum;Mice,,
rayyan-386282745,Prenatal stress produces anxiety- and depression-related behavior particularly in male Sprague-Dawley rats     SO  - INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,2006,,,,,9,,,"",,,,,,"RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""we examined the effects of prenatal restraint stress on anxiety""]}",,character(0),,
rayyan-386282763,Prenatal Stress Modulates Placental and Fetal Serotonin Levels and Determines Behavior Patterns in Offspring of Mice     SO  - INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,2024,,,,,25,,,"",,,,,"Available evidence from animal studies suggests that placental serotonin plays an important role in proper fetal development and programming by altering brain circuit formation, which later translates into altered abnormal adult behaviors. Several environmental stimuli, including stress and maternal inflammation, affect placental and, hence, fetal serotonin levels and thus may disturb fetal brain development. We investigated the effect of prenatal stress of varying intensities on the formation of adaptive behaviors in mouse offspring and the role of placental serotonin in these processes. Mild prenatal stress increased placental serotonin synthesis, whereas exposure to moderate stress decreased it. Prenatal stress of varying intensities also resulted in multidirectional changes in animal behavior in progeny, consistent with changes in serotonin levels in the placenta and fetal tissues. Mice exposed to mild prenatal stress showed higher sociality and exploratory activity, whereas, after moderate stress, in contrast, they avoided contact with other individuals of their species and had reduced exploratory activity, with no effect on locomotor activity. Thus, in mice, stressors of varying intensities during the critical period of intrauterine development can affect the synthesis of serotonin by the placenta and lead to multidirectional changes in animal behavior in postnatal life.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""females were subjected to stress of varying intensities (immobilization for 1 h or 2 h)""]}",10.3390/ijms252413565,character(0),,
rayyan-386282782,"Antidepressant and anxiolytic efficacy of single, chronic and concomitant use of vortioxetine, dapoxetine and fluoxetine in prenatally stressed rats",,,,,,,,,"",,,,,"Depression is a highly prevalent social disease. Despite significant medical progress, therapeutic solutions for optimising treatment of this disease are still being sought. The aim of this study was to assess, using the forced swimming test, locomotor activity test and two compartment exploratory test, for a reduction in immobility time (a measure of anti-depressant efficacy), locomotor activity and anxiolytic effectiveness after single, repeated, and combined administration of vortioxetine (2.5 mg/kg - a multimodal SMS), dapoxetine (3.0 mg/kg - an SSRI used in premature ejaculation disorders) and fluoxetine (5.0 mg/kg - an SSRI) in non-stressed and prenatally stressed rats. It was found that vortioxetine, fluoxetine and dapoxetine reduced immobility time and rat locomotor activity which suggests anti-depressant efficacy of these drugs both in monotherapy and in combined administration. The results also confirmed an anxiolytic effect of the study drugs in mono and combined therapy. Analysis of the pathomechanism of depression and the mechanisms of action of the individual drugs tested resulted in a prediction that combined administration of these drugs may be effective in the treatment of depressive disorders, although possible interactions between the drugs used must be assessed for. Considering the fact that dapoxetine is not currently used in depression treatment and vortioxetine is a relatively new drug, further research in this direction is vital, including within animal models.","RAYYAN-INCLUSION: {""Anna""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure | USER-NOTES: {""Anna""=>[""rest""]}",https://doi.org/10.21307/ane-2019-002,character(0),,
