Model,k,Studies,Estimate,95% CI lower,95% CI upper
All studies,207,16,0.1689654597487881,-0.09802174518094672,0.4359526646785229
Abramova-laboratory studies excluded,89,12,0.23184878766301287,-0.007575724747854784,0.4712733000738805
