Model,k,Studies,Estimate,95% CI lower,95% CI upper
All effect sizes,187,16,0.1970047630383489,-0.05455864060693677,0.4485681666836346
Exact-zero-corrected effect sizes excluded,185,16,0.19492276522067914,-0.05493534712004561,0.4447808775614039
