model,k,n_studies,estimate,ci_lb,ci_ub
All studies,207,16,0.17727072779737524,-0.12006161935030629,0.47460307494505677
Excluding the two exact-zero-corrected effect sizes,205,16,0.1772153308540638,-0.1200999973783142,0.47453065908644176
