model,k,n_studies,estimate,ci_lb,ci_ub
All studies,207,16,0.17727072779737524,-0.12006161935030629,0.47460307494505677
Excluding the Abramova-lab studies,89,12,0.24643351392002988,-0.047549596415344064,0.5404166242554038
