study_id,es_id,arm,se_recalculated,se_analysis_column,abs_diff
badache_2017_stress,es089,control,4.04,4.04,0
badache_2017_stress,es090,control,0.23,0.23,0
badache_2017_stress,es091,control,1.26,1.26,0
badache_2017_stress,es092,control,7.96,7.96,0
badache_2017_stress,es093,control,1.13,1.13,0
whitlow_1978_thesis,es094,control,1.8114833899321297,1.811483,3.89932129696291e-7
whitlow_1978_thesis,es095,control,1.8114833899321297,1.811483,3.89932129696291e-7
whitlow_1978_thesis,es096,control,1.4096172530158675,1.409617,2.5301586759063355e-7
whitlow_1978_thesis,es097,control,1.4096172530158675,1.409617,2.5301586759063355e-7
whitlow_1978_thesis,es098,control,0.9308527383533873,0.930853,2.6164661270922096e-7
whitlow_1978_thesis,es099,control,0.9308527383533873,0.930853,2.6164661270922096e-7
whitlow_1978_thesis,es100,control,0.4732861481176055,0.473286,1.4811760551403097e-7
whitlow_1978_thesis,es101,control,0.4732861481176055,0.473286,1.4811760551403097e-7
whitlow_1978_thesis,es102,control,0.5652332633523969,0.565233,2.633523968897933e-7
whitlow_1978_thesis,es103,control,0.5652332633523969,0.565233,2.633523968897933e-7
whitlow_1978_thesis,es104,control,0.4381798808708588,0.43818,1.1912914121836593e-7
whitlow_1978_thesis,es105,control,0.4381798808708588,0.43818,1.1912914121836593e-7
whitlow_1978_thesis,es106,control,0.29495972691199723,0.29496,2.730880027668192e-7
whitlow_1978_thesis,es107,control,0.29495972691199723,0.29496,2.730880027668192e-7
whitlow_1978_thesis,es108,control,0.33317412864746865,0.333174,1.286474686224004e-7
whitlow_1978_thesis,es109,control,0.33317412864746865,0.333174,1.286474686224004e-7
whitlow_1978_thesis,es110,control,0.23874497795765257,0.238745,2.2042347447293054e-8
whitlow_1978_thesis,es111,control,0.23874497795765257,0.238745,2.2042347447293054e-8
whitlow_1978_thesis,es112,control,1.5127223474583826,1.512722,3.47458382732313e-7
whitlow_1978_thesis,es113,control,1.5127223474583826,1.512722,3.47458382732313e-7
whitlow_1978_thesis,es114,control,1.2596888951245064,1.259689,1.0487549362281356e-7
whitlow_1978_thesis,es115,control,1.2596888951245064,1.259689,1.0487549362281356e-7
whitlow_1978_thesis,es116,control,0.9777430838415581,0.977743,8.384155802954041e-8
whitlow_1978_thesis,es117,control,0.9777430838415581,0.977743,8.384155802954041e-8
whitlow_1978_thesis,es118,control,0.45014284455048265,0.450143,1.5544951736945478e-7
whitlow_1978_thesis,es119,control,0.45014284455048265,0.450143,1.5544951736945478e-7
whitlow_1978_thesis,es120,control,0.4190838603430106,0.419084,1.3965698941742488e-7
whitlow_1978_thesis,es121,control,0.4190838603430106,0.419084,1.3965698941742488e-7
whitlow_1978_thesis,es122,control,0.4386270944663587,0.438627,9.446635873544551e-8
whitlow_1978_thesis,es123,control,0.4386270944663587,0.438627,9.446635873544551e-8
whitlow_1978_thesis,es124,control,0.3453159777652925,0.345316,2.223470751960832e-8
whitlow_1978_thesis,es125,control,0.3453159777652925,0.345316,2.223470751960832e-8
whitlow_1978_thesis,es126,control,0.276310919979649,0.276311,8.002035095655557e-8
whitlow_1978_thesis,es127,control,0.276310919979649,0.276311,8.002035095655557e-8
whitlow_1978_thesis,es128,control,0.37248420369191493,0.372484,2.0369191494618022e-7
whitlow_1978_thesis,es129,control,0.37248420369191493,0.372484,2.0369191494618022e-7
abramova_2020_genpath,es130,control,5.948995416139602,5.948995,4.161396018886876e-7
abramova_2020_genpath,es131,control,6.011892564326145,6.011893,4.356738543265237e-7
abramova_2020_genpath,es132,control,2.3824902331908935,2.38249,2.331908932617921e-7
abramova_2020_genpath,es133,control,2.2868893963744727,2.286889,3.9637447279972093e-7
abramova_2020_genpath,es134,control,1.0595995116080414,1.0596,4.883919586529117e-7
abramova_2020_genpath,es135,control,0.6478158775840555,0.647816,1.2241594449236004e-7
abramova_2020_genpath,es136,control,3.8983150400204956,3.898315,4.002049536211416e-8
abramova_2020_genpath,es137,control,4.7748446059793395,4.774845,3.940206605435037e-7
abramova_2020_genpath,es138,control,5.498709817880008,5.49871,1.8211999197603745e-7
abramova_2020_genpath,es139,control,7.584250558311611,7.584251,4.416883889746259e-7
abramova_2020_genpath,es140,control,1.3084657432466467,1.308466,2.5675335324493176e-7
abramova_2020_genpath,es141,control,0.6391184641754609,0.639118,4.641754609568949e-7
abramova_2020_genpath,es142,control,3.820679910434791,3.82068,8.95652090271426e-8
abramova_2020_genpath,es143,control,5.5622905026217,5.562291,4.973783003237031e-7
abramova_2020_genpath,es144,control,3.6447013606055574,3.644701,3.606055574145728e-7
abramova_2020_genpath,es145,control,5.168479165952872,5.168479,1.6595287277709758e-7
abramova_2020_genpath,es146,control,0.46720404321880604,0.467204,4.321880603397332e-8
abramova_2020_genpath,es147,control,0.6164321216123926,0.616432,1.2161239260066736e-7
abramova_2020_genpath,es148,control,0.28004515350207365,0.280045,1.535020736631587e-7
abramova_2020_genpath,es149,control,0.441376052816643,0.441376,5.281664300360589e-8
abramova_2020_genpath,es150,control,0.6823808646936108,0.682381,1.3530638920400406e-7
abramova_2020_genpath,es151,control,1.1647227197444416,1.164723,2.8025555831590054e-7
abramova_2020_genpath,es152,control,8.574180299043169,8.57418,2.990431688942863e-7
abramova_2020_genpath,es153,control,10.421457592257536,10.421458,4.0774246379271517e-7
abramova_2020_genpath,es154,control,0.8641284699047938,0.864128,4.699047937428702e-7
abramova_2020_genpath,es155,control,1.2955610444899925,1.295561,4.448999257888886e-8
abramova_2020_genpath,es156,control,8.108116650492887,8.108117,3.495071130288352e-7
abramova_2020_genpath,es157,control,7.265922870534449,7.265923,1.2946555116855052e-7
abramova_2020_genpath,es158,control,0.5311332266955251,0.531133,2.2669552512954994e-7
abramova_2020_genpath,es159,control,0.5309900522190182,0.53099,5.22190182206117e-8
abramova_2020_genpath,es160,control,13.93002631037067,13.930026,3.1037066960948323e-7
abramova_2020_genpath,es161,control,13.264451116696168,13.264451,1.1669616917231451e-7
abramova_2020_genpath,es162,control,12.045387240817538,12.045387,2.408175383550315e-7
abramova_2020_genpath,es163,control,6.411962826210543,6.411963,1.7378945749157992e-7
abramova_2023_biopsy,es164,control,2.7,2.7,0
abramova_2023_biopsy,es165,control,3.5,3.5,0
abramova_2023_biopsy,es166,control,1.7,1.7,0
abramova_2023_biopsy,es167,control,2.5,2.5,0
abramova_2023_biopsy,es170,control,4.9,4.9,0
abramova_2023_biopsy,es171,control,3,3,0
abramova_2023_biopsy,es174,control,0.6,0.6,0
abramova_2023_biopsy,es175,control,0.6,0.6,0
abramova_2023_biopsy,es178,control,7,7,0
abramova_2023_biopsy,es179,control,5,5,0
abramova_2023_biopsy,es182,control,1,1,0
abramova_2023_biopsy,es183,control,0.62,0.62,0
abramova_2023_biopsy,es186,control,1.5,1.5,0
abramova_2023_biopsy,es187,control,1.2,1.2,0
abramova_2023_biopsy,es188,control,1.8,1.8,0
abramova_2023_biopsy,es189,control,1.3,1.3,0
abramova_2023_biopsy,es192,control,6.9,6.9,0
abramova_2023_biopsy,es193,control,4.7,4.7,0
abramova_2023_biopsy,es196,control,1.8,1.8,0
abramova_2023_biopsy,es197,control,0.9,0.9,0
abramova_2023_biopsy,es198,control,5.8,5.8,0
abramova_2023_biopsy,es199,control,6.7,6.7,0
abramova_2023_biopsy,es202,control,13,13,0
abramova_2023_biopsy,es203,control,26,26,0
abramova_2023_biopsy,es204,control,7,7,0
abramova_2023_biopsy,es205,control,8,8,0
uygur_2010_aphyhun,es001,experimental,66.9,66.9,0
uygur_2010_aphyhun,es002,experimental,0.73,0.73,0
uygur_2010_aphyhun,es003,experimental,16.87,16.87,0
barzegar_2014_hippo,es004,experimental,6.2,6.2,0
barzegar_2014_hippo,es005,experimental,1.37,1.37,0
barzegar_2014_hippo,es006,experimental,2.666667,2.666667,0
barzegar_2014_hippo,es007,experimental,1.81,1.81,0
barzegar_2014_hippo,es008,experimental,2.8,2.8,0
barzegar_2014_hippo,es009,experimental,2.63,2.63,0
hassanvand_2012_phyphar,es010,experimental,1.1904520149926245,1.190452,1.4992624475240746e-8
hassanvand_2012_phyphar,es011,experimental,1.002494502063062,1.002495,4.979369379043419e-7
hassanvand_2012_phyphar,es012,experimental,1.0651197898202187,1.06512,2.1017978135695614e-7
arjunan_2023_stress,es013,experimental,7.695480275243819,7.69548,2.752438188480255e-7
arjunan_2023_stress,es014,experimental,7.952676698236052,7.952677,3.0176394805181417e-7
arjunan_2023_stress,es015,experimental,4.809164861664306,4.809165,1.3833569401100476e-7
arjunan_2023_stress,es016,experimental,4.388669122486528,4.388669,1.224865275872844e-7
arjunan_2023_stress,es017,experimental,4.809164861664306,4.809165,1.3833569401100476e-7
arjunan_2023_stress,es018,experimental,4.935721831708104,4.935722,1.6829189597444838e-7
hadizadeh_2018_irjbamedsci,es019,experimental,1.25,1.25,0
hadizadeh_2018_irjbamedsci,es020,experimental,1.78,1.78,0
abramova_2024_devneur,es021,experimental,2.5028571428571427,2.502857,1.4285714255990456e-7
abramova_2024_devneur,es022,experimental,3.7673842504991564,3.767384,2.5049915652886057e-7
abramova_2024_devneur,es023,experimental,0.4414285714285714,0.441429,4.2857142862340325e-7
abramova_2024_devneur,es024,experimental,0.7929748362395183,0.792975,1.6376048173061264e-7
abramova_2024_devneur,es025,experimental,2.792857142857143,2.792857,1.4285714300399377e-7
abramova_2024_devneur,es026,experimental,0.5608111009146404,0.560811,1.0091464042183418e-7
abramova_2024_devneur,es027,experimental,3.2328571428571427,3.232857,1.4285714255990456e-7
abramova_2024_devneur,es028,experimental,4.18497746273936,4.184977,4.627393597189666e-7
abramova_2024_devneur,es029,experimental,0.6614285714285714,0.661429,4.285714286789144e-7
abramova_2024_devneur,es030,experimental,1.0809181703112827,1.080918,1.7031128263234052e-7
abramova_2024_devneur,es031,experimental,0.27285714285714285,0.272857,1.4285714283746032e-7
abramova_2024_devneur,es032,experimental,0.20352015758999045,0.20352,1.5758999044601651e-7
abramova_2024_devneur,es033,experimental,1.57,1.57,0
abramova_2024_devneur,es034,experimental,1.2075529350339433,1.207553,6.496605675643252e-8
abramova_2024_devneur,es035,experimental,2.5157142857142856,2.515714,2.8571428556389833e-7
abramova_2024_devneur,es036,experimental,2.0608300401890145,2.06083,4.0189014338665174e-8
abramova_2024_devneur,es037,experimental,4.401428571428571,4.401429,4.285714290119813e-7
abramova_2024_devneur,es038,experimental,7.390043055600987,7.390043,5.5600986925696816e-8
abramova_2024_devneur,es039,experimental,2.457142857142857,2.457143,1.4285714300399377e-7
abramova_2024_devneur,es040,experimental,3.81411850890871,3.814119,4.910912898559161e-7
abramova_2024_devneur,es041,experimental,0.31142857142857144,0.311429,4.285714285678921e-7
abramova_2024_devneur,es042,experimental,0.4191007689630914,0.419101,2.3103690860448722e-7
abramova_2024_devneur,es043,experimental,5.388912406328101,5.388912,4.063281009436537e-7
abramova_2024_devneur,es044,experimental,12.310052802486268,12.310053,1.9751373159238028e-7
abramova_2024_devneur,es045,experimental,5.4,5.4,0
abramova_2024_devneur,es046,experimental,4.3,4.3,0
oliveira_2015_jbehavbraisci,es047,experimental,4.15,4.15,0
oliveira_2015_jbehavbraisci,es048,experimental,37.82,37.82,0
oliveira_2015_jbehavbraisci,es049,experimental,42.49,42.49,0
oliveira_2015_jbehavbraisci,es050,experimental,2.37,2.37,0
oliveira_2015_jbehavbraisci,es051,experimental,1.17,1.17,0
oliveira_2015_jbehavbraisci,es052,experimental,4.46,4.46,0
pavlov_2023_molsci,es053,experimental,3.605354153398605,3.605354,1.5339860492957769e-7
pavlov_2023_molsci,es054,experimental,0.8472181368623853,0.847218,1.3686238531374073e-7
pavlov_2023_molsci,es055,experimental,2.9799628473235322,2.979963,1.5267646791272682e-7
pavlov_2023_molsci,es056,experimental,2.5550174726827772,2.555017,4.726827773637865e-7
pavlov_2023_molsci,es057,experimental,1.1305150532895554,1.130515,5.328955543504321e-8
nishio_2006_intjdevlneur,es058,experimental,3.55,3.55,0
nishio_2006_intjdevlneur,es059,experimental,6.17,6.17,0
nishio_2006_intjdevlneur,es060,experimental,3.48,3.48,0
nishio_2006_intjdevlneur,es061,experimental,6.63,6.63,0
nishio_2006_intjdevlneur,es062,experimental,0.53,0.53,0
nishio_2006_intjdevlneur,es063,experimental,0.51,0.51,0
