es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es022,abramova_2024_devneur,control,53.82,53.82,53.82,Reported mean; used unchanged,29.51,,29.51,Reported or previously approved SD; used unchanged,4.9881,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,FALSE,,,,FALSE,TRUE
es023,abramova_2024_devneur,control,10.2,10.2,10.2,Reported mean; used unchanged,5.76,,5.76,Reported or previously approved SD; used unchanged,0.946938,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,FALSE,,,,FALSE,TRUE
es024,abramova_2024_devneur,control,11.55,11.55,11.55,Reported mean; used unchanged,6.92,,6.92,Reported or previously approved SD; used unchanged,1.169693,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,FALSE,,,,FALSE,TRUE
es025,abramova_2024_devneur,control,2.59,2.59,2.59,Reported mean; used unchanged,3.45,,3.45,Reported or previously approved SD; used unchanged,0.567177,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,FALSE,,,,FALSE,TRUE
es026,abramova_2024_devneur,control,1.23,1.23,1.23,Reported mean; used unchanged,2.02,,2.02,Reported or previously approved SD; used unchanged,0.341442,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,FALSE,,,,FALSE,TRUE
es027,abramova_2024_devneur,control,22.57,22.57,22.57,Reported mean; used unchanged,14.12,,14.12,Reported or previously approved SD; used unchanged,2.321314,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d,FALSE,,,,FALSE,TRUE
es028,abramova_2024_devneur,control,28.31,28.31,28.31,Reported mean; used unchanged,19.54,,19.54,Reported or previously approved SD; used unchanged,3.302863,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2d; Fig. 2. d,FALSE,,,,FALSE,TRUE
es029,abramova_2024_devneur,control,6.97,6.97,6.97,Reported mean; used unchanged,3.61,,3.61,Reported or previously approved SD; used unchanged,0.59348,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e,FALSE,,,,FALSE,TRUE
es030,abramova_2024_devneur,control,7.13,7.13,7.13,Reported mean; used unchanged,4.67,,4.67,Reported or previously approved SD; used unchanged,0.789374,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2e; Fig. 2. e,FALSE,,,,FALSE,TRUE
es031,abramova_2024_devneur,control,2.46,2.46,2.46,Reported mean; used unchanged,1.21,,1.21,Reported or previously approved SD; used unchanged,0.198923,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig3a; Fig. 3. a,FALSE,,,,FALSE,TRUE
