es_id,study_id,arm,mean_reported,mean_pre_zero,mean_analysis,mean_derivation,sd_reported,se_reported,sd_analysis,sd_derivation,se_analysis,se_derivation,se_source,exact_zero,zero_correction_reference_mean,zero_correction_primary_09,zero_correction_sensitivity_08,zero_mean_exclusion_sensitivity,analysis_ready
es087,abramova_2021_front,control,36.678,36.678,36.678,Reported mean; used unchanged,36.638022,,36.638022,Reported or previously approved SD; used unchanged,7.327604,"SD / sqrt(n), using the same-sex subgroup in author raw data","included_studies/abramova_2021_front/abramova_2021_front.xlsx, Лист1, handling=No handling",FALSE,,,,FALSE,TRUE
es088,badache_2017_stress,control,216.89,216.89,216.89,Reported mean; used unchanged,47.03,11.76,47.03,Reported or previously approved SD; used unchanged,11.76,Reported SEM; used unchanged for analysis,badache_2017_stress_5a; Figure 5a,FALSE,,,,FALSE,TRUE
es089,badache_2017_stress,control,70.44,70.44,70.44,Reported mean; used unchanged,16.15,4.04,16.15,Reported or previously approved SD; used unchanged,4.04,Reported SEM; used unchanged for analysis,badache_2017_stress_5b; Figure 5b,FALSE,,,,FALSE,TRUE
es090,badache_2017_stress,control,4.13,4.13,4.13,Reported mean; used unchanged,0.93,0.23,0.93,Reported or previously approved SD; used unchanged,0.23,Reported SEM; used unchanged for analysis,badache_2017_stress_5c; Figure 5c,FALSE,,,,FALSE,TRUE
es091,badache_2017_stress,control,22,22,22,Reported mean; used unchanged,5.03,1.26,5.03,Reported or previously approved SD; used unchanged,1.26,Reported SEM; used unchanged for analysis,badache_2017_stress_5d; Figure 5d,FALSE,,,,FALSE,TRUE
es092,badache_2017_stress,control,135.51,135.51,135.51,Reported mean; used unchanged,31.84,7.96,31.84,Reported or previously approved SD; used unchanged,7.96,Reported SEM; used unchanged for analysis,badache_2017_stress_6a; Figure 6a,FALSE,,,,FALSE,TRUE
es093,badache_2017_stress,control,18.12,18.12,18.12,Reported mean; used unchanged,4.52,1.13,4.52,Reported or previously approved SD; used unchanged,1.13,Reported SEM; used unchanged for analysis,badache_2017_stress_6b; Figure 6b,FALSE,,,,FALSE,TRUE
es094,whitlow_1978_thesis,control,65.63,65.63,65.63,Reported mean; used unchanged,8.1012,,8.1012,Reported or previously approved SD; used unchanged,1.811483,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es095,whitlow_1978_thesis,control,65.63,65.63,65.63,Reported mean; used unchanged,8.1012,,8.1012,Reported or previously approved SD; used unchanged,1.811483,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es096,whitlow_1978_thesis,control,39.74,39.74,39.74,Reported mean; used unchanged,6.304,,6.304,Reported or previously approved SD; used unchanged,1.409617,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es097,whitlow_1978_thesis,control,39.74,39.74,39.74,Reported mean; used unchanged,6.304,,6.304,Reported or previously approved SD; used unchanged,1.409617,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es098,whitlow_1978_thesis,control,17.33,17.33,17.33,Reported mean; used unchanged,4.1629,,4.1629,Reported or previously approved SD; used unchanged,0.930853,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es099,whitlow_1978_thesis,control,17.33,17.33,17.33,Reported mean; used unchanged,4.1629,,4.1629,Reported or previously approved SD; used unchanged,0.930853,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es100,whitlow_1978_thesis,control,4.48,4.48,4.48,Reported mean; used unchanged,2.1166,,2.1166,Reported or previously approved SD; used unchanged,0.473286,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es101,whitlow_1978_thesis,control,4.48,4.48,4.48,Reported mean; used unchanged,2.1166,,2.1166,Reported or previously approved SD; used unchanged,0.473286,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es102,whitlow_1978_thesis,control,6.39,6.39,6.39,Reported mean; used unchanged,2.5278,,2.5278,Reported or previously approved SD; used unchanged,0.565233,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es103,whitlow_1978_thesis,control,6.39,6.39,6.39,Reported mean; used unchanged,2.5278,,2.5278,Reported or previously approved SD; used unchanged,0.565233,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es104,whitlow_1978_thesis,control,3.84,3.84,3.84,Reported mean; used unchanged,1.9596,,1.9596,Reported or previously approved SD; used unchanged,0.43818,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es105,whitlow_1978_thesis,control,3.84,3.84,3.84,Reported mean; used unchanged,1.9596,,1.9596,Reported or previously approved SD; used unchanged,0.43818,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es106,whitlow_1978_thesis,control,1.74,1.74,1.74,Reported mean; used unchanged,1.3191,,1.3191,Reported or previously approved SD; used unchanged,0.29496,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es107,whitlow_1978_thesis,control,1.74,1.74,1.74,Reported mean; used unchanged,1.3191,,1.3191,Reported or previously approved SD; used unchanged,0.29496,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es108,whitlow_1978_thesis,control,2.22,2.22,2.22,Reported mean; used unchanged,1.49,,1.49,Reported or previously approved SD; used unchanged,0.333174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es109,whitlow_1978_thesis,control,2.22,2.22,2.22,Reported mean; used unchanged,1.49,,1.49,Reported or previously approved SD; used unchanged,0.333174,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es110,whitlow_1978_thesis,control,1.14,1.14,1.14,Reported mean; used unchanged,1.0677,,1.0677,Reported or previously approved SD; used unchanged,0.238745,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es111,whitlow_1978_thesis,control,1.14,1.14,1.14,Reported mean; used unchanged,1.0677,,1.0677,Reported or previously approved SD; used unchanged,0.238745,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es112,whitlow_1978_thesis,control,45.7671,45.7671,45.7671,Reported mean; used unchanged,6.7651,,6.7651,Reported or previously approved SD; used unchanged,1.512722,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es113,whitlow_1978_thesis,control,45.7671,45.7671,45.7671,Reported mean; used unchanged,6.7651,,6.7651,Reported or previously approved SD; used unchanged,1.512722,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es114,whitlow_1978_thesis,control,31.7366,31.7366,31.7366,Reported mean; used unchanged,5.6335,,5.6335,Reported or previously approved SD; used unchanged,1.259689,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es115,whitlow_1978_thesis,control,31.7366,31.7366,31.7366,Reported mean; used unchanged,5.6335,,5.6335,Reported or previously approved SD; used unchanged,1.259689,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es116,whitlow_1978_thesis,control,19.1201,19.1201,19.1201,Reported mean; used unchanged,4.3726,,4.3726,Reported or previously approved SD; used unchanged,0.977743,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es117,whitlow_1978_thesis,control,19.1201,19.1201,19.1201,Reported mean; used unchanged,4.3726,,4.3726,Reported or previously approved SD; used unchanged,0.977743,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es118,whitlow_1978_thesis,control,4.0526,4.0526,4.0526,Reported mean; used unchanged,2.0131,,2.0131,Reported or previously approved SD; used unchanged,0.450143,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es119,whitlow_1978_thesis,control,4.0526,4.0526,4.0526,Reported mean; used unchanged,2.0131,,2.0131,Reported or previously approved SD; used unchanged,0.450143,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es120,whitlow_1978_thesis,control,3.5127,3.5127,3.5127,Reported mean; used unchanged,1.8742,,1.8742,Reported or previously approved SD; used unchanged,0.419084,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es121,whitlow_1978_thesis,control,3.5127,3.5127,3.5127,Reported mean; used unchanged,1.8742,,1.8742,Reported or previously approved SD; used unchanged,0.419084,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es122,whitlow_1978_thesis,control,3.8478,3.8478,3.8478,Reported mean; used unchanged,1.9616,,1.9616,Reported or previously approved SD; used unchanged,0.438627,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es123,whitlow_1978_thesis,control,3.8478,3.8478,3.8478,Reported mean; used unchanged,1.9616,,1.9616,Reported or previously approved SD; used unchanged,0.438627,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es124,whitlow_1978_thesis,control,2.3849,2.3849,2.3849,Reported mean; used unchanged,1.5443,,1.5443,Reported or previously approved SD; used unchanged,0.345316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es125,whitlow_1978_thesis,control,2.3849,2.3849,2.3849,Reported mean; used unchanged,1.5443,,1.5443,Reported or previously approved SD; used unchanged,0.345316,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es126,whitlow_1978_thesis,control,1.5268,1.5268,1.5268,Reported mean; used unchanged,1.2357,,1.2357,Reported or previously approved SD; used unchanged,0.276311,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es127,whitlow_1978_thesis,control,1.5268,1.5268,1.5268,Reported mean; used unchanged,1.2357,,1.2357,Reported or previously approved SD; used unchanged,0.276311,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es128,whitlow_1978_thesis,control,2.775,2.775,2.775,Reported mean; used unchanged,1.6658,,1.6658,Reported or previously approved SD; used unchanged,0.372484,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es129,whitlow_1978_thesis,control,2.775,2.775,2.775,Reported mean; used unchanged,1.6658,,1.6658,Reported or previously approved SD; used unchanged,0.372484,Accepted analysis assumption: SD = sqrt(mean); SE = SD / sqrt(n),included_studies/whitlow_1978_thesis.pdf; figure error bars are not defined; assumption approved by reviewer,FALSE,,,,FALSE,TRUE
es130,abramova_2020_genpath,control,51.375,51.375,51.375,Reported mean; used unchanged,16.8263,,16.8263,Reported or previously approved SD; used unchanged,5.948995,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es131,abramova_2020_genpath,control,65.5,65.5,65.5,Reported mean; used unchanged,17.0042,,17.0042,Reported or previously approved SD; used unchanged,6.011893,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es132,abramova_2020_genpath,control,23.625,23.625,23.625,Reported mean; used unchanged,6.7387,,6.7387,Reported or previously approved SD; used unchanged,2.38249,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es133,abramova_2020_genpath,control,28.125,28.125,28.125,Reported mean; used unchanged,6.4683,,6.4683,Reported or previously approved SD; used unchanged,2.286889,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es134,abramova_2020_genpath,control,1.875,1.875,1.875,Reported mean; used unchanged,2.997,,2.997,Reported or previously approved SD; used unchanged,1.0596,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es135,abramova_2020_genpath,control,2.75,2.75,2.75,Reported mean; used unchanged,1.8323,,1.8323,Reported or previously approved SD; used unchanged,0.647816,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es136,abramova_2020_genpath,control,12.5038,12.5038,12.5038,Reported mean; used unchanged,11.0261,,11.0261,Reported or previously approved SD; used unchanged,3.898315,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es137,abramova_2020_genpath,control,13.8713,13.8713,13.8713,Reported mean; used unchanged,13.5053,,13.5053,Reported or previously approved SD; used unchanged,4.774845,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es138,abramova_2020_genpath,control,9.4775,9.4775,9.4775,Reported mean; used unchanged,15.5527,,15.5527,Reported or previously approved SD; used unchanged,5.49871,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es139,abramova_2020_genpath,control,8.2563,8.2563,8.2563,Reported mean; used unchanged,21.4515,,21.4515,Reported or previously approved SD; used unchanged,7.584251,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es140,abramova_2020_genpath,control,4.625,4.625,4.625,Reported mean; used unchanged,3.7009,,3.7009,Reported or previously approved SD; used unchanged,1.308466,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es141,abramova_2020_genpath,control,2.875,2.875,2.875,Reported mean; used unchanged,1.8077,,1.8077,Reported or previously approved SD; used unchanged,0.639118,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es142,abramova_2020_genpath,control,282.218,282.218,282.218,Reported mean; used unchanged,17.0866,,17.0866,Reported or previously approved SD; used unchanged,3.82068,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es143,abramova_2020_genpath,control,270.4478,270.4478,270.4478,Reported mean; used unchanged,23.5988,,23.5988,Reported or previously approved SD; used unchanged,5.562291,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es144,abramova_2020_genpath,control,15.626,15.626,15.626,Reported mean; used unchanged,16.2996,,16.2996,Reported or previously approved SD; used unchanged,3.644701,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es145,abramova_2020_genpath,control,26.8306,26.8306,26.8306,Reported mean; used unchanged,21.928,,21.928,Reported or previously approved SD; used unchanged,5.168479,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es146,abramova_2020_genpath,control,1.95,1.95,1.95,Reported mean; used unchanged,2.0894,,2.0894,Reported or previously approved SD; used unchanged,0.467204,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es147,abramova_2020_genpath,control,4.3889,4.3889,4.3889,Reported mean; used unchanged,2.6153,,2.6153,Reported or previously approved SD; used unchanged,0.616432,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es148,abramova_2020_genpath,control,2.9,2.9,2.9,Reported mean; used unchanged,1.2524,,1.2524,Reported or previously approved SD; used unchanged,0.280045,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es149,abramova_2020_genpath,control,3.7222,3.7222,3.7222,Reported mean; used unchanged,1.8726,,1.8726,Reported or previously approved SD; used unchanged,0.441376,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es150,abramova_2020_genpath,control,2.95,2.95,2.95,Reported mean; used unchanged,3.0517,,3.0517,Reported or previously approved SD; used unchanged,0.682381,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es151,abramova_2020_genpath,control,5.7778,5.7778,5.7778,Reported mean; used unchanged,4.9415,,4.9415,Reported or previously approved SD; used unchanged,1.164723,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es152,abramova_2020_genpath,control,47.411,47.411,47.411,Reported mean; used unchanged,38.3449,,38.3449,Reported or previously approved SD; used unchanged,8.57418,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es153,abramova_2020_genpath,control,46.7839,46.7839,46.7839,Reported mean; used unchanged,44.2145,,44.2145,Reported or previously approved SD; used unchanged,10.421458,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es154,abramova_2020_genpath,control,8.25,8.25,8.25,Reported mean; used unchanged,3.8645,,3.8645,Reported or previously approved SD; used unchanged,0.864128,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es155,abramova_2020_genpath,control,11.7222,11.7222,11.7222,Reported mean; used unchanged,5.4966,,5.4966,Reported or previously approved SD; used unchanged,1.295561,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es156,abramova_2020_genpath,control,22.984,22.984,22.984,Reported mean; used unchanged,36.2606,,36.2606,Reported or previously approved SD; used unchanged,8.108117,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es157,abramova_2020_genpath,control,11.1783,11.1783,11.1783,Reported mean; used unchanged,30.8267,,30.8267,Reported or previously approved SD; used unchanged,7.265923,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es158,abramova_2020_genpath,control,3.8,3.8,3.8,Reported mean; used unchanged,2.3753,,2.3753,Reported or previously approved SD; used unchanged,0.531133,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es159,abramova_2020_genpath,control,4.3889,4.3889,4.3889,Reported mean; used unchanged,2.2528,,2.2528,Reported or previously approved SD; used unchanged,0.53099,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es160,abramova_2020_genpath,control,247.5357,247.5357,247.5357,Reported mean; used unchanged,63.8354,,63.8354,Reported or previously approved SD; used unchanged,13.930026,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es161,abramova_2020_genpath,control,179.33,179.33,179.33,Reported mean; used unchanged,56.2763,,56.2763,Reported or previously approved SD; used unchanged,13.264451,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es162,abramova_2020_genpath,control,52.7727,52.7727,52.7727,Reported mean; used unchanged,34.0695,,34.0695,Reported or previously approved SD; used unchanged,12.045387,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es163,abramova_2020_genpath,control,63.8303,63.8303,63.8303,Reported mean; used unchanged,26.4372,,26.4372,Reported or previously approved SD; used unchanged,6.411963,"SD / sqrt(n), using descriptive statistics calculated from author raw data","included_studies/abramova_2020_genpath/abramova2020_descriptives.xlsx, tidy_all",FALSE,,,,FALSE,TRUE
es164,abramova_2023_biopsy,control,51.7,51.7,51.7,Reported mean; used unchanged,8.1,2.7,8.1,Reported or previously approved SD; used unchanged,2.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 2",FALSE,,,,FALSE,TRUE
es165,abramova_2023_biopsy,control,53.2,53.2,53.2,Reported mean; used unchanged,11.068,3.5,11.068,Reported or previously approved SD; used unchanged,3.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 3",FALSE,,,,FALSE,TRUE
es166,abramova_2023_biopsy,control,23.4,23.4,23.4,Reported mean; used unchanged,5.1,1.7,5.1,Reported or previously approved SD; used unchanged,1.7,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 4",FALSE,,,,FALSE,TRUE
es167,abramova_2023_biopsy,control,23.4,23.4,23.4,Reported mean; used unchanged,7.9057,2.5,7.9057,Reported or previously approved SD; used unchanged,2.5,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 5",FALSE,,,,FALSE,TRUE
es168,abramova_2023_biopsy,control,,2,2,"Luo et al. (2018) from Q1, median, Q3 and n",,,1.7493603130956201,"Wan et al. (2014) from Q1, Q3 and n",0.5831201043652067,SE = Wan SD / sqrt(n),"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 6",FALSE,,,,FALSE,TRUE
es169,abramova_2023_biopsy,control,,2.0739,2.0739,"Luo et al. (2018) from Q1, median, Q3 and n",,,1.5480062365520704,"Wan et al. (2014) from Q1, Q3 and n",0.48952255396499395,SE = Wan SD / sqrt(n),"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 7",FALSE,,,,FALSE,TRUE
es170,abramova_2023_biopsy,control,23.7,23.7,23.7,Reported mean; used unchanged,14.7,4.9,14.7,Reported or previously approved SD; used unchanged,4.9,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 8",FALSE,,,,FALSE,TRUE
es171,abramova_2023_biopsy,control,18.3,18.3,18.3,Reported mean; used unchanged,9.4868,3,9.4868,Reported or previously approved SD; used unchanged,3,Reported SEM; used unchanged for analysis,"included_studies/abramova_2023_biopsy/abramova_2023_biopsy_data_calculations.xlsx, Table1_Extract, source row 9",FALSE,,,,FALSE,TRUE
