study_left_out,estimate,lowerCL,upperCL,lowerPR,upperPR
uygur_2010_aphyhun,0.16500461222562887,-0.14806781664234978,0.4780770410936075,-0.904599805746979,1.2346090301982366
barzegar_2014_hippo,0.18240841936055296,-0.1151035277203773,0.4799203664414832,-0.8716043910331172,1.2364212297542232
hassanvand_2012_phyphar,0.17834608677825844,-0.1331679122567728,0.48986008581328966,-0.8770400965832907,1.2337322701398077
arjunan_2023_stress,0.16425612652533578,-0.12409614993329615,0.4526084029839677,-0.8664702308001446,1.194982483850816
hadizadeh_2018_irjbamedsci,0.16520857208847994,-0.12422083019578206,0.45463797437274195,-0.8585094191393852,1.188926563316345
abramova_2024_devneur,0.1847463683551642,-0.11287583627833256,0.482368572988661,-0.8626506735165507,1.2321434102268791
oliveira_2015_jbehavbraisci,0.18107314905991215,-0.12251947541091088,0.48466577353073514,-0.8739676747345094,1.2361139728543338
pavlov_2023_molsci,0.0832007793072253,-0.2025864927665726,0.3689880513810232,-0.9132020437641875,1.0796036023786382
nishio_2006_intjdevlneur,0.21843740657890326,-0.1362659155908567,0.5731407287486632,-0.8861688968513086,1.323043710009115
uygur_2011_ankarauniv,0.20241683359574317,-0.07928652023472013,0.48412018742620644,-0.8271119808590804,1.2319456480505668
morra_1965_physiolrec,0.18069400700757923,-0.11699375082101274,0.47838176483617123,-0.87159420882175,1.2329822228369085
abramova_2021_front,0.18436925993271955,-0.118460458755868,0.4871989786213071,-0.8806863566196499,1.249424876485089
badache_2017_stress,0.15899844184298134,-0.13114529186716928,0.44914217555313196,-0.8384816683815113,1.156478552067474
whitlow_1978_thesis,0.23875466717242627,-0.11607272138815222,0.5935820557330047,-0.898933466532678,1.3764428008775307
abramova_2020_genpath,0.2125337419830761,-0.07661981883505256,0.5016873028012048,-0.8121013802377025,1.2371688642038547
abramova_2023_biopsy,0.18430377771826523,-0.11333175007238766,0.4819393055089181,-0.8205374061176691,1.1891449615541996
