study_id,es_id,ex_id,con_id,out_id,shared_control,data_status,id_notes,outcome_id_notes,title,doi,publish_in,sp_latin,sp_common,strain,dam_age,dam_age_notes,gest_stage_ex,gest_stage_ex_notes,exposure_span_d,exposure_type,exposure_session_duration_h,ex_session_duration_notes,noise_type,noise_type_2,loudness_dB,frequency_Hz,control_conditions,control_notes,offspring_sex,offspring_age_d,offspring_age_notes,experimental_procedures,experimental_procedures_notes,outcome_type,assay_type,assay_type_notes,measurement_variable,data_type,data_units,measurement_timing,data_source,data_file,c_a_id,ex_a_id,comparison,higher_better,effect_direction_label,higher_better_notes,c_mean,c_sd,c_n,c_se_reported,c_se_analysis,c_se_derivation,c_se_source,c_median,c_q1,c_q3,ex_mean,ex_sd,ex_n,ex_se_reported,ex_se_analysis,ex_se_derivation,ex_se_source,ex_median,ex_q1,ex_q3,stat_comment,general_comment
hassanvand_2012_phyphar,es011,ex005,con003,out007,Yes,Verified – no change,Only one experiment,Only one assay,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Rearing frequency,Count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_rear,Exp_rear,control_exp_rear,Yes,Negative,Not specified,13.943,1.8417,6,,0.751871,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,20.6957,2.4556,6,,1.002495,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,,"non-English language, native speaker crossed-checked"
hassanvand_2012_phyphar,es012,ex005,con003,out008,Yes,Verified – no change,Only one experiment,Only one assay,"Alterations in dopamine related behavior of the offspring of pregnant Wistar
rats exposed to noise pollution stress",http://ppj.phypha.ir/article-1-805-en.html,Physiology and Pharmacology,Rattus norvegicus,brown rat,Wistar rat,,not reported 200g,"early, mid",day 1-14,14,Intermitent,0.083,15 min,Traffic,Audible,125,,Unclear,"Environment without noise""محیط بی سر و صدا""",male,90,3 months,none,They used a car alarm,Anxiety,Open Field Test (OFT),Locomotor and exploratory behaviour,Sections crossed,Count,Count,Not reported,Figure 2,hassanvand_2012_phyphar_Figure2,Control_loco,Exp_loco,control_exp_loco,Yes,Negative,Not specified,24.686,4.4507,6,,1.816991,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,28.5228,2.609,6,,1.06512,SD / sqrt(n); derived for analysis from the extracted SD and sample size,hassanvand_2012_phyphar_Figure2; Figure 2,,,,,"non-English language, native speaker crossed-checked"
arjunan_2023_stress,es013,ex006,con004,out009,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Egs_cen,con_egs_cen,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,160.21,18.85,6,,7.69548,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,,
arjunan_2023_stress,es014,ex006,con004,out010,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid",day 1-10,10,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_peri.png,Con_per,Egs_per,con_egs_per,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,132.86,19.48,6,,7.952677,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,,
arjunan_2023_stress,es015,ex007,con004,out009,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Lgs_cen,con_lgs_cen,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,124.08,11.78,6,,4.809165,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,,
arjunan_2023_stress,es016,ex007,con004,out010,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,late,day 11-21,11,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_peri.png,Con_per,Lgs_per,con_lgs_per,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,170.48,10.75,6,,4.388669,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,,
arjunan_2023_stress,es017,ex008,con004,out009,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in central square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_cen,Con_cen,Fgs_cen,con_fgs_cen,Yes,Negative,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",225.39,25.92,6,,10.581796,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,93.46,11.78,6,,4.809165,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_cen; Figure 3B,,,,,
arjunan_2023_stress,es018,ex008,con004,out010,Yes,Corrected transcription,"3 experimental groups: Early gestational, late gestational and full-term gestational",,Impacts of Maternal Noise Exposure on Risk of Stillbirth and Oxidative Stress-Induced Neurobehavioral Changes in Offspring,10.3390/stresses3030037,Stresses,Rattus norvegicus,albino rat,Wistar albino rat,,not reported 160-180g,"early, mid, late",day 1-21,21,Intermitent,4,h,White noise,Audible,100,"0-20,000",Unclear,,male,45,,none,,Anxiety,Open Field Test (OFT),locomotion and emotional status,Time in peripheral square,Time,s,Not reported,Figure 3B,arjunan_2023_stress_fig3B_peri.png,Con_per,Fgs_per,con_fgs_per,No,Positive,"reduced time spent in the central square indicated
the fear and anxiety-like behavior",71.74,28.21,6,,11.516684,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,202.72,12.09,6,,4.935722,SD / sqrt(n); derived for analysis from the extracted SD and sample size,arjunan_2023_stress_fig3B_peri.png; Figure 3B,,,,,
hadizadeh_2018_irjbamedsci,es019,ex009,con005,out011,Yes,Verified – no change,One control and one stress group; male offspring only,,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Entries into open arms (OAE),Percentage,%,Not reported,Figure 2A,hadizadeh_2018_irjbamedsci_fig2A,CON_en,ST_en,CON_ST_en,Yes,Negative,declined the anxiety-like behavior where the number of open arm entries increased,54.98,7.67,6,3.13,3.13,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2A; Figure 2A,,,,19.51,3.07,6,1.25,1.25,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2A; Figure 2A,,,,,
hadizadeh_2018_irjbamedsci,es020,ex009,con005,out012,Yes,Verified – no change,One control and one stress group; male offspring only,,Probiotic supplementation improves the cognitive function and the anxiety-like behaviors in the stressed rats,10.22038/ijbms.2019.33956.8078,Iranian Journal of Basic Medical Sciences,Rattus norvegicus,brown rat,Wistar rat,,not reported,late,third trimester,7,Intermitent,4,h,Traffic,Audible,95,,Unclear,"The control: kept in the noise chamber for the
same period of time without noise exposure",male,45,,The CON and ST groups received drinking water as vehicle,,Anxiety,Elevated Plus Maze (EPM),,Time in open arms (OAT),Percentage,%,Not reported,Figure 2B,hadizadeh_2018_irjbamedsci_fig2B,CON_ti,ST_ti,CON_ST_ti,Yes,Negative,,41.56,2.9,6,1.18,1.18,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2B; Figure 2B,,,,17.52,4.35,6,1.78,1.78,Reported SEM; used unchanged for analysis,hadizadeh_2018_irjbamedsci_fig2B; Figure 2B,,,,,
abramova_2024_devneur,es021,ex010,con006,out013,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late",permanently during the whole period of gestation (21 days),21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups,Time in open arms (OAT),Time,s,Light phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_f_oa,PS_f_oa,Con_PS_f_oa,Yes,Negative,,45.56,30.7,37,,5.047049,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,,,27.88,17.52,49,,2.502857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,,,results presented as Med (Q1; Q3),
abramova_2024_devneur,es022,ex011,con007,out013,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups,Time in open arms (OAT),Time,s,Light phase,Fig. 2. a,abramova_2024_devneur_fig2a,Con_m_oa,PS_m_oa,Con_PS_m_oa,Yes,Negative,,53.82,29.51,35,,4.9881,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,,,38.35,24.99,44,,3.767384,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2a; Fig. 2. a,,,,results presented as Med (Q1; Q3),
abramova_2024_devneur,es023,ex010,con006,out014,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups | Head-dipping,Head-dipping,Count,Count,Light phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_f_hd,PS_f_hd,Con_PS_f_hd,Yes,Negative,,10.2,5.76,37,,0.946938,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,,,4.46,3.09,49,,0.441429,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,,,results presented as Med (Q1; Q3),
abramova_2024_devneur,es024,ex011,con007,out014,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups | Head-dipping,Head-dipping,Count,Count,Light phase,Fig. 2. b,abramova_2024_devneur_fig2b,Con_m_hd,PS_m_hd,Con_PS_m_hd,Yes,Negative,,11.55,6.92,35,,1.169693,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,,,8.55,5.26,44,,0.792975,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2b; Fig. 2. b,,,,results presented as Med (Q1; Q3),
abramova_2024_devneur,es025,ex010,con006,out015,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",female,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups,Total freezing time,Time,s,Light phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_f_fr,PS_f_fr,Con_PS_f_fr,No,Positive,,2.59,3.45,37,,0.567177,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,,,20.84,19.55,49,,2.792857,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,,,results presented as Med (Q1; Q3),
abramova_2024_devneur,es026,ex011,con007,out015,No,Verified – no change,"one control, one treatment for females and males",,Ultrasound-Induced Prenatal Stress: New Possibilities for Modeling Mental Disorders,10.1159/000534687,Developmental Neuroscience,Rattus norvegicus,brown rat,Wistar rat,16,3 months,"early, mid, late","permanently during the
whole period of gestation (21 days)",21,Continuous,24,Expossed to continuous variable frequencies,Ultrasound,Ultrasound,50,"20,000-45,000",Ambient sound,"No noise, standars housing conditions",male,70,,none,,Anxiety,Elevated Plus Maze (EPM),They divided in two groups,Total freezing time,Time,s,Light phase,Fig. 2. c,abramova_2024_devneur_fig2c,Con_m_fr,PS_m_fr,Con_PS_m_fr,No,Positive,,1.23,2.02,35,,0.341442,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,,,3.27,3.72,44,,0.560811,SD / sqrt(n); derived for analysis from the extracted SD and sample size,abramova_2024_devneur_fig2c; Fig. 2. c,,,,results presented as Med (Q1; Q3),
