filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
abramova_2024_devneur_fig3e.png,Grooming duration,PS_f_grd,29.12087912,17.1991404,49,NA,2.457020058,sd,boxplot
abramova_2024_devneur_fig3e.png,Grooming duration,PS_m_grd,40.38461538,25.29680847,44,NA,3.813637368,sd,boxplot
abramova_2024_devneur_fig3f.png,grooming frequency,Con_f_gf,3.615029183,2.125589312,37,NA,0.34944473,sd,boxplot
abramova_2024_devneur_fig3f.png,grooming frequency,Con_m_gf,3.169990272,1.495527789,35,NA,0.252790335,sd,boxplot
abramova_2024_devneur_fig3f.png,grooming frequency,PS_f_gf,4.490515564,2.178578506,49,NA,0.311225501,sd,boxplot
abramova_2024_devneur_fig3f.png,grooming frequency,PS_m_gf,4.464980545,2.775755806,44,NA,0.418460933,sd,boxplot
abramova_2024_devneur_fig4a.png,Immobility time,Con_f_ti,49.75577265,27.37286279,14,NA,7.315705304,sd,boxplot
abramova_2024_devneur_fig4a.png,Immobility time,Con_m_ti,103.9742451,44.64938114,12,NA,12.88916611,sd,boxplot
abramova_2024_devneur_fig4a.png,Immobility time,PS_f_ti,86.12344583,19.42532464,13,NA,5.387615696,sd,boxplot
abramova_2024_devneur_fig4a.png,Immobility time,PS_m_ti,128.285968,46.06468311,14,NA,12.31130442,sd,boxplot
arjunan_2023_stress_fig3B_cen.png,Duration (Sec),Con_cen,251.3358779,26.33587786,6,NA,10.75157712,sd,mean_error
arjunan_2023_stress_fig3B_cen.png,Duration (Sec),Egs_cen,178.6259542,16.60305344,6,NA,6.778168181,sd,mean_error
arjunan_2023_stress_fig3B_cen.png,Duration (Sec),Lgs_cen,134.5419847,9.732824427,6,NA,3.973408934,sd,mean_error
arjunan_2023_stress_fig3B_cen.png,Duration (Sec),Fgs_cen,103.0534351,10.8778626,6,NA,4.440868808,sd,mean_error
arjunan_2023_stress_fig3B_peri.png,Duration (sec),Con_per,98.24902724,25.77821012,6,NA,10.52391021,sd,mean_error
arjunan_2023_stress_fig3B_peri.png,Duration (sec),Egs_per,151.7509728,17.50972763,6,NA,7.14831637,sd,mean_error
arjunan_2023_stress_fig3B_peri.png,Duration (sec),Lgs_per,180.4474708,8.754863813,6,NA,3.574158185,sd,mean_error
arjunan_2023_stress_fig3B_peri.png,Duration (sec),Fgs_per,214.0077821,10.21400778,6,NA,4.169851216,sd,mean_error
badache_2017_stress_5a.png,Time in corners,Cn_cor,216.8918919,47.02702703,16,NA,11.75675676,se,mean_error
